keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
battle.intent.tooltip.sacrifice,희생 — 자신 체력 %d 소비 + 다음 공격 강화,Sacrifice — -%d HP + boost next attack,Sacrifice — -%d HP + boost next attack,Sacrifice — -%d HP + boost next attack,Sacrifice — -%d HP + boost next attack,犠牲 — 自身HP %d 消費 + 次の攻撃強化,Θυσία — -%d HP + ενίσχυση επόμενης επίθεσης,牺牲 — 消耗自身 %d HP + 强化下次攻击,犧牲 — 消耗自身 %d HP + 強化下次攻擊,Жертва — -%d HP + усиление след. атаки,Sacrifício — -%d HP + reforça próx. atq,Poświęcenie — -%d HP + wzmocn. nast. ataku,Opfer — -%d HP + nächste Atk verstärkt
battle.intent.tooltip.ward,수호 — %d 차례 동안 무적,Ward — invulnerable for %d turns,Ward — invulnerable for %d turns,Ward — invulnerable for %d turns,Ward — invulnerable for %d turns,守護 — %d ターンの間無敵,Φύλακας — άτρωτος για %d γύρους,守护 — %d 回合内无敌,守護 — %d 回合內無敵,Защита — неуязвим %d х.,Proteção — invulnerável %d t.,Bariera — niewrażliwy %d tur,Schutz — unverwundbar %d R.
battle.intent.tooltip.summon,소환 — 적 %d 마리 추가,Summon %d enemies,Summon %d enemies,Summon %d enemies,Summon %d enemies,召喚 — 敵 %d 体追加,Κάλεσμα — %d εχθροί επιπλέον,召唤 — 追加 %d 个敌人,召喚 — 追加 %d 個敵人,Призыв %d врагов,Invocar %d inimigos,Przyzwij %d wrogów,%d Feinde beschwören
battle.intent.tooltip.mimic,흉내 — 이번 차례 받은 데미지의 %d%% 반사,Mimic — reflect %d%% of damage taken this turn,Mimic — reflect %d%% of damage taken this turn,Mimic — reflect %d%% of damage taken this turn,Mimic — reflect %d%% of damage taken this turn,ミミック — このターン受けたダメの %d%% 反射,Μίμηση — αντανάκλαση %d%% της ζημιάς αυτού του γύρου,模仿 — 反射本回合所受伤害的 %d%%,模仿 — 反射本回合所受傷害的 %d%%,Мимик — отраж. %d%% урона этого хода,Mímica — reflete %d%% dano deste turno,Mimika — odbij %d%% obr. tej tury,Mimik — %d%% Schaden dieser Runde reflektieren
battle.intent.tooltip.special_remove_card,특수: 영웅 덱에서 카드 %d장 영구 제거,Special: remove %d cards from deck,Special: remove %d cards from deck,Special: remove %d cards from deck,Special: remove %d cards from deck,特殊: 英雄デッキからカードを %d 枚永久除外,Ειδικό: αφαίρεση %d καρτών από την τράπουλα,特殊: 永久从英雄牌组移除 %d 张牌,特殊: 永久從英雄牌組移除 %d 張牌,Особо: убрать %d карт из колоды,Especial: remover %d cartas do baralho,Specjalne: usuń %d kart z talii,Spezial: %d Karten aus Deck entfernen
battle.intent.tooltip.special_summon,특수: 적 소환,Special: summon enemy,Special: summon enemy,Special: summon enemy,Special: summon enemy,特殊: 敵召喚,Ειδικό: κάλεσμα εχθρού,特殊: 召唤敌人,特殊: 召喚敵人,Особо: призыв врага,Especial: invocar inimigo,Specjalne: przyzwij wroga,Spezial: Feind beschwören
battle.intent.tooltip.special_generic,특수: %s,Special: %s,Special: %s,Special: %s,Special: %s,特殊: %s,Ειδικό: %s,特殊: %s,特殊: %s,Особо: %s,Especial: %s,Specjalne: %s,Spezial: %s
battle.intent.tooltip.special_unknown,특수 효과,Special effect,Special effect,Special effect,Special effect,特殊効果,Ειδική επίδραση,特殊效果,特殊效果,Особый эффект,Efeito especial,Efekt specjalny,Spezialeffekt
battle.intent.tooltip.unknown,알 수 없는 인텐트,Unknown intent,Unknown intent,Unknown intent,Unknown intent,不明なインテント,Άγνωστη πρόθεση,未知意图,未知意圖,Неизвестное намерение,Intenção desconhecida,Nieznane zamierzenie,Unbekannte Absicht
battle.notify.cards_exhausted,❌ 카드를 빼앗겼다!,❌ Cards stolen!,❌ Cartes volées!,❌ Carte rubate!,❌ ¡Cartas robadas!,❌ カード奪取！,❌ Κάρτες κλάπηκαν!,❌ 卡牌被夺！,❌ 卡牌被奪！,❌ Карты украдены!,❌ Cartas roubadas!,❌ Karty skradzione!,❌ Karten gestohlen!
battle.signature.hubris.toast,⚔ 휴브리스!,⚔ Hubris!,⚔ Hybris !,⚔ Hubris!,⚔ ¡Hibris!,⚔ ヒュブリス！,⚔ Ύβρις!,⚔ 傲慢！,⚔ 傲慢！,⚔ Гибрис!,⚔ Hubris!,⚔ Hybris!,⚔ Hybris!
battle.signature.ragnarok.toast,🌪 라그나로크!,🌪 Ragnarok!,🌪 Ragnarök !,🌪 Ragnarök!,🌪 ¡Ragnarök!,🌪 ラグナロク！,🌪 Ραγκναρόκ!,🌪 诸神黄昏！,🌪 諸神黃昏！,🌪 Рагнарёк!,🌪 Ragnarök!,🌪 Ragnarök!,🌪 Ragnarök!
battle.signature.karma.toast,☸ 인과응보!,☸ Karma!,☸ Karma !,☸ Karma!,☸ ¡Karma!,☸ 因果応報！,☸ Κάρμα!,☸ 因果报应！,☸ 因果報應！,☸ Карма!,☸ Karma!,☸ Karma!,☸ Karma!
battle.signature.kekkai.toast,🛡 결계!,🛡 Kekkai!,🛡 Kekkai !,🛡 Kekkai!,🛡 ¡Kekkai!,🛡 結界！,🛡 Κεκκάι!,🛡 结界！,🛡 結界！,🛡 Кеккай!,🛡 Kekkai!,🛡 Kekkai!,🛡 Kekkai!
battle.signature.egyptian_curse.toast,👁 영원의 저주!,👁 Eternal Curse!,👁 Malédiction !,👁 Maledizione!,👁 ¡Maldición!,👁 永遠の呪い！,👁 Αιώνια Κατάρα!,👁 永恒诅咒！,👁 永恆詛咒！,👁 Вечное проклятие!,👁 Maldição Eterna!,👁 Wieczna Klątwa!,👁 Ewiger Fluch!
battle.signature.yin_yang.toast,☯ 음양 순환!,☯ Yin-Yang!,☯ Yin-Yang !,☯ Yin-Yang!,☯ ¡Yin-Yang!,☯ 陰陽！,☯ Γιν-Γιανγκ!,☯ 阴阳！,☯ 陰陽！,☯ Инь-Ян!,☯ Yin-Yang!,☯ Yin-Yang!,☯ Yin-Yang!
battle.signature.hubris.desc,그리스 휴브리스: 25 이상 피해를 받으면 다음 턴 시작 시 힘 +2,Greek Hubris: take 25+ damage → next turn Strength +2,Hybris : 25+ dégâts → Force +2,Hybris: 25+ danni → Forza +2,Hibris: 25+ daño → Fuerza +2,ヒュブリス: 25以上の被害 → 次ターン ストレングス +2,Ύβρις: 25+ ζημιά → Δύναμη +2,傲慢：受25+伤害下回合力量+2,傲慢：受25+傷害下回合力量+2,Гибрис: 25+ урона → след. ход Сила +2,Hubris: 25+ dano → próx. turno Força +2,Hybris: 25+ obr. → nast. tura Siła +2,Hybris: 25+ Schaden → nächste Runde Stärke +2
battle.signature.ragnarok.desc,북유럽 라그나로크: 체력 30% 이하 시 모든 적 힘 +1 (1회),Norse Ragnarok: at 30% HP all enemies gain Strength +1 (once),Ragnarök : 30% PV → tous Force +1 (1 fois),Ragnarök: 30% PV → tutti Forza +1 (una volta),Ragnarök: 30% PV → todos Fuerza +1 (una vez),ラグナロク: HP30%以下で全敵 ストレングス +1（1回）,Ραγκναρόκ: 30% HP → όλοι Δύναμη +1,诸神黄昏：HP 30%时全敌力量+1,諸神黃昏：HP 30%時全敵力量+1,Рагнарёк: HP 30%% → все Сила +1 (1×),Ragnarök: HP 30%% → todos Força +1 (1×),Ragnarök: HP 30%% → wszyscy Siła +1 (1×),Ragnarök: HP 30%% → alle Stärke +1 (1×)
battle.signature.egyptian_curse.desc,이집트 영원의 저주: 단일 공격 명중 시 vulnerable +1 자동 부여,Egyptian Eternal Curse: single-target hit auto-applies Vulnerable +1,Malédiction : attaque unique → Vulnérable +1,Maledizione: attacco singolo → Vulnerabile +1,Maldición: ataque único → Vulnerable +1,永遠の呪い: 単体攻撃命中 → 脆弱 +1,Αιώνια Κατάρα: μονό χτύπημα → Ευάλωτος +1,永恒诅咒：单体命中→脆弱+1,永恆詛咒：單體命中→脆弱+1,Вечн. проклятие: одиночное попад. → Vulnerable +1,Maldição: ataque único → Vulnerable +1,Klątwa: pojed. atak → Vulnerable +1,Fluch: Einzeltreffer → Vulnerable +1
battle.signature.karma.desc,불교 인과응보: 사망 시 받은 누적 피해의 25%를 모든 영웅에 반사,Buddhist Karma: on death return 25% of damage taken to all heroes,Karma : à la mort renvoie 25% des dégâts subis,Karma: alla morte restituisce 25% danni,Karma: al morir devuelve 25% daño,因果応報: 死亡時に受けた被害の25%を全英雄に反射,Κάρμα: στον θάνατο επιστρέφει 25% ζημιάς,因果报应：死亡反弹累积所受伤害25%,因果報應：死亡反彈累積所受傷害25%,Карма: при смерти возврат 25%% урона всем героям,Karma: ao morrer reflete 25%% dano,Karma: przy śmierci odbij 25%% obr.,Karma: beim Tod 25%% Schaden reflektieren
battle.signature.yin_yang.desc,도교 음양 순환: 매 턴 힘 +1 (양) / block +15 (음) 교대,Daoist Yin-Yang: alternates Strength +1 (Yang) / Block +15 (Yin) each turn,Yin-Yang : alterne Force +1 / Bloc +15 chaque tour,Yin-Yang: alterna Forza +1 / Blocco +15 ogni turno,Yin-Yang: alterna Fuerza +1 / Bloque +15 cada turno,陰陽: 毎ターン ストレングス +1 / ブロック +15 交代,Γιν-Γιανγκ: εναλλάσσει Δύναμη +1 / Φραγή +15,阴阳：每回合力量+1（阳）/格挡+15（阴）交替,陰陽：每回合力量+1（陽）/格擋+15（陰）交替,Инь-Ян: ход Сила +1 / Block +15,Yin-Yang: turno Força +1 / Block +15,Yin-Yang: tura Siła +1 / Block +15,Yin-Yang: Runde Stärke +1 / Block +15
battle.signature.kekkai.desc,일본 결계: 매 5턴마다 block +20,Japanese Kekkai: every 5 turns Block +20,Kekkai : tous les 5 tours Bloc +20,Kekkai: ogni 5 turni Blocco +20,Kekkai: cada 5 turnos Bloque +20,結界: 5ターン毎にブロック +20,Κεκκάι: κάθε 5 γύρους Φραγή +20,结界：每5回合格挡+20,結界：每5回合格擋+20,Кеккай: каждые 5 ходов Block +20,Kekkai: a cada 5 turnos Block +20,Kekkai: co 5 tur Block +20,Kekkai: alle 5 Runden Block +20
battle.target.ally,아군,Ally,Allié,Alleato,Aliado,味方,Σύμμαχος,队友,队友,Союзник,Aliado,Sojusznik,Verbündeter
battle.target.hero,영웅,Hero,Héros,Eroe,Héroe,英雄,Ήρωας,英雄,英雄,Герой,Herói,Bohater,Held
battle.target.all_hero,모든 영웅,All Heroes,Tous les héros,Tutti gli Eroi,Todos los Héroes,全英雄,Όλοι οι Ήρωες,全英雄,全英雄,Все герои,Todos os Heróis,Wszyscy Bohaterowie,Alle Helden
battle.damage,피해,damage,dégâts,danni,daño,ダメージ,ζημιά,伤害,傷害,урон,dano,obrażenia,Schaden
battle.target.all_ally,아군 전체,All Allies,Tous les alliés,Tutti gli Alleati,Todos los Aliados,全味方,Όλοι οι Σύμμαχοι,全队友,全队友,Все союзники,Todos os Aliados,Wszyscy Sojusznicy,Alle Verbündeten
battle.target.lowest_hp_ally,최저 체력 아군,Lowest HP Ally,Allié HP le plus bas,Alleato HP più basso,Aliado con HP más bajo,最低HP味方,Σύμμαχος με Χαμηλότερο HP,最低HP队友,最低HP队友,Союзник с миним. HP,Aliado com menor HP,Sojusznik z najniż. HP,Verb. mit niedr. HP
battle.target.random_ally,랜덤 아군,Random Ally,Allié aléatoire,Alleato Casuale,Aliado Aleatorio,ランダム味方,Τυχαίος Σύμμαχος,随机队友,随机队友,Случ. союзник,Aliado aleatório,Losowy sojusznik,Zufälliger Verb.
battle.counter.effect.attack,%s에게 %d 피해,%s: %d damage,%s : %d dégâts,%s: %d danni,%s: %d daño,%s: %d ダメージ,%s: %d ζημιά,%s: %d 伤害,%s: %d 伤害,%s: %d урона,%s: %d dano,%s: %d obr.,%s: %d Schaden
battle.counter.effect.debuff,%s에게 %s %d 부여,%s: %s %d,%s : %s %d,%s: %s %d,%s: %s %d,%s に %s %d 付与,%s: %s %d,对 %s 施加 %s %d,對 %s 施加 %s %d,%s: %s %d,%s: %s %d,%s: %s %d,%s: %s %d
battle.counter.effect.buff,%s +%d 부여,Grant %s +%d,Accorde %s +%d,Concede %s +%d,Concede %s +%d,%s +%d 付与,%s +%d χάρισε,%s +%d 赋予,%s +%d 赋予,Дать %s +%d,Conceder %s +%d,Daj %s +%d,Gewähre %s +%d
battle.counter.tooltip.format,[%s] 카운터 %d회 달성 시: %s,[%s] On %d counters: %s,[%s] À %d compteurs: %s,[%s] A %d contatori: %s,[%s] A %d contadores: %s,[%s] %d カウンター時: %s,[%s] Στους %d μετρητές: %s,[%s] %d计数时: %s,[%s] %d计数时: %s,[%s] При %d счётчиков: %s,[%s] Aos %d contadores: %s,[%s] Przy %d licznikach: %s,[%s] Bei %d Zählern: %s
battle.drag_dead_ally,사망한 영웅,Dead Ally,Héros mort,Eroe morto,Héroe muerto,死亡した英雄,Νεκρός Ήρωας,已死亡英雄,已死亡英雄,Мёртвый союзник,Aliado morto,Martwy sojusznik,Toter Verbündeter
battle.cancel_use,사용 취소,Cancel Use,Annuler,Annulla,Cancelar,使用取消,Ακύρωση,取消使用,取消使用,Отменить,Cancelar,Anuluj,Abbrechen
battle.counter.label,%d/%d,%d/%d,%d/%d,%d/%d,%d/%d,%d/%d,%d/%d,%d/%d,%d/%d,%d/%d,%d/%d,%d/%d,%d/%d
power.poison_per_turn.label,매 턴 모든 적에게 독 %d 스택을 부여합니다.,Poison ×%d/Turn,Poison ×%d/Tour,Veleno ×%d/Turno,Veneno ×%d/Turno,毒 ×%d/ターン,Δηλητήριο ×%d/Γύρο,毒 ×%d/回合,毒 ×%d/回合,Яд ×%d/ход,Veneno ×%d/Turno,Trucizna ×%d/Tura,Gift ×%d/Runde
power.poison_per_turn.desc,플레이어 턴 시작마다 모든 적에게 독 %d 적용,Apply %d Poison to all enemies each player turn,Applique %d Poison à tous les ennemis chaque tour,Applica %d Veleno a tutti i nemici ogni turno,Aplica %d Veneno a todos los enemigos cada turno,毎ターン全敵に毒 %d 適用,Εφαρμόζει %d Δηλητήριο σε όλους τους εχθρούς κάθε γύρο,每回合对所有敌人施加 %d 中毒,每回合对所有敌人施加 %d 中毒,Применять Яд %d всем врагам каждый ход,Aplica %d Veneno a todos inimigos por turno,Trucizna %d wszystkim wrogom co turę,%d Gift an alle Feinde pro Runde
power.spend_all_energy_poison_double.label,에너지당 독 부여량 ×2,Poison ×2 per energy,Poison ×2 par énergie,Veleno ×2 per energia,Veneno ×2 por energía,エネルギーごとに毒 ×2,Δηλητήριο ×2 ανά ενέργεια,每点能量 毒 ×2,每點能量 毒 ×2,Яд ×2 за энергию,Veneno ×2 por energia,Trucizna ×2 za energię,Gift ×2 pro Energie
power.spend_all_energy_poison_double.desc,남은 에너지를 모두 소모하고 에너지당 부여하는 독 스택을 2배로,Spend all remaining energy; double poison applied per energy,Dépense toute l'énergie restante; double le poison par énergie,Consuma tutta l'energia rimanente; raddoppia il veleno per energia,Gasta toda la energía restante; duplica el veneno por energía,残りエネルギーをすべて消費し、エネルギーごとの毒付与を2倍,Ξοδεύει όλη την ενέργεια; διπλασιάζει το δηλητήριο ανά ενέργεια,消耗所有剩余能量；每点能量施加的中毒翻倍,消耗所有剩餘能量；每點能量施加的中毒翻倍,Тратит всю оставшуюся энергию; яд на единицу энергии ×2,Gasta toda energia restante; veneno por energia em dobro,Wydaj całą pozostałą energię; trucizna na energię ×2,Verbrauche alle restliche Energie; Gift pro Energie ×2
power.block_per_turn.label,매 턴 방어도 %d을 얻습니다.,Block +%d/Turn,Bloc +%d/Tour,Blocco +%d/Turno,Bloqueo +%d/Turno,ブロック +%d/ターン,Μπλοκ +%d/Γύρο,格挡 +%d/回合,格挡 +%d/回合,Блок +%d/ход,Bloqueio +%d/Turno,Blok +%d/Tura,Block +%d/Runde
power.block_per_turn.desc,플레이어 턴 시작마다 방어도 %d 획득,Gain %d Block at the start of each player turn,Gagnez %d Bloc au début de chaque tour du joueur,Ottieni %d Blocco all'inizio di ogni turno del giocatore,Obtén %d Bloqueo al inicio de cada turno del jugador,ターン開始時にブロック %d 獲得,Αποκτάτε %d Μπλοκ στην αρχή κάθε γύρου,每回合开始时获得 %d 格挡,每回合开始时获得 %d 格挡,Получ. %d Блока каждый ход,Ganha %d Bloqueio por turno,Zysk. %d Bloku co turę,Erhalte %d Block pro Runde
power.heal_team_per_turn.label,매 턴 모든 아군의 체력 %d을 회복합니다.,Heal +%d/Turn,Soin +%d/Tour,Cura +%d/Turno,Curar +%d/Turno,チーム回復 +%d/ターン,Θεραπεία +%d/Γύρο,治疗 +%d/回合,治疗 +%d/回合,Лечение +%d/ход,Cura +%d/Turno,Lecz. +%d/Tura,Heilung +%d/Runde
