keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
synergy.musashi_yi.name,검사의 약속 (검객×통제사),Swordsman's Vow (the Swordsman x the Admiral),Vœu de l'escrimeur (l'Épéiste x l'Amiral),Voto dello Spadaccino (lo Spadaccino x l'Ammiraglio),Voto del Espadachín (el Espadachín x el Almirante),剣士の約束 (剣客×統制使),Όρκος του Ξιφομάχου (ο Ξιφομάχος x ο Ναύαρχος),剑客之约 (剑客×统制使),剑客之约 (劍客×統制使),Клятва мечника (Мечник x Адмирал),Voto do Espadachim (o Espadachim x o Almirante),Przysięga Szermierza (Szermierz x Admirał),Schwur des Schwertkämpfers (Schwertkämpfer x Admiral)
synergy.musashi_yi.desc,검객·통제사 공격 시 두 영웅 속도 +1 (영구),the Swordsman or the Admiral attack: both Speed +1 (permanent),Attaque de l'Épéiste ou l'Amiral: les deux Vitesse +1 (permanent),Attacco dello Spadaccino o l'Ammiraglio: entrambi Velocità +1 (permanente),Ataque de el Espadachín o el Almirante: ambos Velocidad +1 (permanente),剣客・統制使の攻撃時、両英雄の速度+1（永続）,Επίθεση Ξιφομάχου ή Ναυάρχου: και οι δύο Ταχύτητα +1 (μόνιμο),剑客或统制使攻击时双方速度 +1（永久）,劍客或統制使攻擊時雙方速度 +1（永久）,Атака Мечника или Адмирала: оба Скорость +1 (навсегда),Ataque do Espadachim ou Almirante: ambos Velocidade +1 (permanente),Atak Szermierza lub Admirała: obaj Szybkość +1 (na stałe),Schwertkämpfer- oder Admiral-Angriff: beide Geschw. +1 (dauerhaft)
synergy.joan_yi.name,성녀의 방패 (성녀×통제사),Saint's Shield (the Saint x the Admiral),Bouclier de la sainte (la Sainte x l'Amiral),Scudo della Santa (la Santa x l'Ammiraglio),Escudo de la Santa (la Santa x el Almirante),聖女の盾 (聖女×統制使),Ασπίδα της Αγίας (η Αγία x ο Ναύαρχος),圣女之盾 (圣女×统制使),圣女之盾 (聖女×統制使),Щит Святой (Святая x Адмирал),Escudo da Santa (a Santa x o Almirante),Tarcza Świętej (Święta x Admirał),Schild der Heiligen (Heilige x Admiral)
synergy.joan_yi.desc,힐 적용 시 대상 방어구 +30,Any heal grants the healed hero Block +30,Tout soin accorde Blocage +30 au héros soigné,Ogni cura conferisce Difesa +30 all'eroe curato,Cualquier cura otorga Defensa +30 al héroe curado,回復適用時、回復対象の防御+30,Κάθε θεραπεία δίνει Άμυνα +30 στον θεραπευμένο ήρωα,任意治疗时被治疗者护甲 +30,任意治療時被治療者护甲 +30,Любое лечение даёт исцелённому герою Блок +30,Qualquer cura concede Bloqueio +30 ao herói curado,Każde leczenie daje uleczonemu bohaterowi Blok +30,Jede Heilung gewährt dem geheilten Helden Block +30
synergy.joan_cleopatra.name,성스러운 독 (성녀×파라오),Sacred Venom (the Saint x the Pharaoh),Venin sacré (la Sainte x la Pharaonne),Veleno Sacro (la Santa x la Faraona),Veneno Sagrado (la Santa x la Faraona),聖なる毒 (聖女×ファラオ),Ιερό Δηλητήριο (η Αγία x η Φαραώ),神圣之毒 (圣女×法老),神圣之毒 (聖女×法老),Священный яд (Святая x Фараон),Veneno Sagrado (a Santa x a Faraó),Święta Trucizna (Święta x Faraon),Heiliges Gift (Heilige x Pharao)
synergy.joan_cleopatra.desc,파라오 독 부여 시 아군 전체 회복 +15,the Pharaoh applies Poison: all allies Heal +15,La Pharaonne applique Poison: tous alliés Soin +15,La Faraona applica Veleno: tutti alleati Cura +15,La Faraona aplica Veneno: todos aliados Cura +15,ファラオが毒付与時、味方全員を回復+15,Η Φαραώ εφαρμόζει Δηλητήριο: όλοι σύμμαχοι Ίαση +15,法老施加中毒时全体我方治疗 +15,法老施加中毒時全體我方治療 +15,Фараон накладывает Яд: все союзники Лечение +15,a Faraó aplica Veneno: todos aliados Cura +15,Faraon nakłada Truciznę: wszyscy sojusznicy Uleczenie +15,Pharao wendet Gift an: alle Verbündeten Heilung +15
synergy.joan_genghis.name,신의 원정 (성녀×정복자),Divine Expedition (the Saint x the Conqueror),Expédition divine (la Sainte x le Conquérant),Spedizione Divina (la Santa x il Conquistatore),Expedición Divina (la Santa x el Conquistador),神の遠征 (聖女×征服者),Θεία Εκστρατεία (η Αγία x ο Κατακτητής),神之远征 (圣女×征服者),神之远征 (聖女×征服者),Божественный поход (Святая x Завоеватель),Expedição Divina (a Santa x o Conquistador),Boska Wyprawa (Święta x Zdobywca),Göttliche Expedition (Heilige x Eroberer)
synergy.joan_genghis.desc,아군 치명타 발동 시 아군 전체 회복 +30,Ally crit heals all allies +30,Critique allié soigne tous alliés +30,Critico alleato cura tutti alleati +30,Crítico aliado cura todos aliados +30,味方クリティカル発動時、味方全員を回復+30,Κρίσιμο συμμάχου θεραπεύει όλους +30,我方暴击触发时全体我方治疗 +30,我方暴擊觸發時全體我方治疗 +30,Крит союзника лечит всех союзников +30,Crítico aliado cura todos aliados +30,Krytyk sojusznika leczy wszystkich +30,Verbündeten-Krit heilt alle Verbündeten +30
synergy.joan_musashi.name,희생의 칼날 (성녀×검객),Blade of Sacrifice (the Saint x the Swordsman),Lame de sacrifice (la Sainte x l'Épéiste),Lama del Sacrificio (la Santa x lo Spadaccino),Filo de Sacrificio (la Santa x el Espadachín),犠牲の刃 (聖女×剣客),Λεπίδα της Θυσίας (η Αγία x ο Ξιφομάχος),牺牲之刃 (圣女×剑客),牺牲之刃 (聖女×劍客),Клинок жертвы (Святая x Мечник),Lâmina do Sacrifício (a Santa x o Espadachim),Ostrze Poświęcenia (Święta x Szermierz),Klinge der Aufopferung (Heilige x Schwertkämpfer)
synergy.joan_musashi.desc,성녀 체력 희생 시 파티 전원 속도 +5 (3턴),the Saint HP sacrifice: all allies Speed +5 (3 turns),Sacrifice PV de la Sainte: tous alliés Vitesse +5 (3 tours),Sacrificio PV della Santa: tutti alleati Velocità +5 (3 turni),Sacrificio PV de la Santa: todos aliados Velocidad +5 (3 turnos),聖女の体力犠牲時、味方全員の速度+5（3ターン）,Θυσία HP της Αγίας: όλοι σύμμαχοι Ταχύτητα +5 (3 γύροι),圣女牺牲生命时全体我方速度 +5（3回合）,聖女犧牲生命時全體我方速度 +5（3回合）,Жертва HP Святой: все союзники Скорость +5 (3 хода),Sacrifício de PV da Santa: todos aliados Velocidade +5 (3 turnos),Poświęcenie HP Świętej: wszyscy sojusznicy Szybkość +5 (3 tury),HP-Opfer der Heiligen: alle Verbündeten Geschw. +5 (3 Runden)
synergy.napoleon_genghis.name,정복자의 기세 (황제×정복자),Conqueror's Spirit (the Emperor x the Conqueror),Esprit du conquérant (l'Empereur x le Conquérant),Spirito del Conquistatore (l'Imperatore x il Conquistatore),Espíritu del Conquistador (el Emperador x el Conquistador),征服者の気勢 (皇帝×征服者),Πνεύμα του Κατακτητή (ο Αυτοκράτορας x ο Κατακτητής),征服者气势 (皇帝×征服者),征服者气势 (皇帝×征服者),Дух завоевателя (Император x Завоеватель),Espírito do Conquistador (o Imperador x o Conquistador),Duch Zdobywcy (Cesarz x Zdobywca),Geist des Eroberers (Kaiser x Eroberer)
synergy.napoleon_genghis.desc,사기 획득 카드 시 황제·정복자 모두 사기 획득,Morale gain card: both the Emperor and the Conqueror gain Morale,Carte de gain de Moral: l'Empereur et le Conquérant gagnent du Moral,Carta di guadagno Morale: l'Imperatore e il Conquistatore guadagnano Morale,Carta de ganar Moral: el Emperador y el Conquistador ganan Moral,士気獲得カード時、皇帝と征服者の両方が士気獲得,Κάρτα κέρδους Ηθικού: Αυτοκράτορας και Κατακτητής κερδίζουν Ηθικό,获得士气牌时皇帝与征服者均获得士气,獲得士氣牌時皇帝與征服者均獲得士氣,Карта получения Морали: Император и Завоеватель получают Мораль,Carta de ganho de Moral: o Imperador e o Conquistador ganham Moral,Karta zysku Morale: Cesarz i Zdobywca zyskują Morale,Moral-Gewinn-Karte: Kaiser und Eroberer gewinnen Moral
synergy.napoleon_musashi.name,황제의 무도 (황제×검객),Emperor's Dance (the Emperor x the Swordsman),Danse de l'Empereur (l'Empereur x l'Épéiste),Danza dell'Imperatore (l'Imperatore x lo Spadaccino),Danza del Emperador (el Emperador x el Espadachín),皇帝の舞踏 (皇帝×剣客),Χορός του Αυτοκράτορα (ο Αυτοκράτορας x ο Ξιφομάχος),皇帝之舞 (皇帝×剑客),皇帝之舞 (皇帝×劍客),Танец Императора (Император x Мечник),Dança do Imperador (o Imperador x o Espadachim),Taniec Cesarza (Cesarz x Szermierz),Tanz des Kaisers (Kaiser x Schwertkämpfer)
synergy.napoleon_musashi.desc,취약한 적에게 황제·검객 피해 +25%,the Emperor and the Swordsman +25% damage to Vulnerable enemies,l'Empereur et l'Épéiste +25% dégâts aux ennemis Vulnérables,l'Imperatore e lo Spadaccino +25% danni a nemici Vulnerabili,el Emperador y el Espadachín +25% daño a enemigos Vulnerables,皇帝・剣客が脆弱の敵にダメージ+25%,Αυτοκράτορας και Ξιφομάχος +25% ζημιά σε Ευάλωτους εχθρούς,皇帝与剑客对易伤敌方伤害 +25%,皇帝與劍客對易傷敵方傷害 +25%,Император и Мечник +25% урона по Уязвимым врагам,o Imperador e o Espadachim +25% dano a inimigos Vulneráveis,Cesarz i Szermierz +25% obr. wrogom Wrażliwym,Kaiser und Schwertkämpfer +25% Schaden an Verwundbaren
synergy.yi_genghis.name,수륙 협공 (통제사×정복자),Amphibious Pincer (the Admiral x the Conqueror),Pince amphibie (l'Amiral x le Conquérant),Manovra a Tenaglia (l'Ammiraglio x il Conquistatore),Pinza Anfibia (el Almirante x el Conquistador),水陸挟撃 (統制使×征服者),Αμφίβια Λαβίδα (ο Ναύαρχος x ο Κατακτητής),水陆夹击 (统制使×征服者),水陆夹击 (統制使×征服者),Земноводные клещи (Адмирал x Завоеватель),Tenaz Anfíbia (o Almirante x o Conquistador),Kleszcze Amfibijne (Admirał x Zdobywca),Amphibische Zange (Admiral x Eroberer)
synergy.yi_genghis.desc,통제사·정복자의 병사가 합동 공격,the Admiral and the Conqueror Soldiers attack together,Les Soldats de l'Amiral et du Conquérant attaquent ensemble,I Soldati dell'Ammiraglio e del Conquistatore attaccano insieme,Los Soldados de el Almirante y el Conquistador atacan juntos,統制使と征服者の兵士が合同攻撃,Οι Στρατιώτες Ναυάρχου και Κατακτητή επιτίθενται μαζί,统制使与征服者的士兵协同攻击,統制使與征服者的士兵協同攻擊,Солдаты Адмирала и Завоевателя атакуют вместе,Soldados do Almirante e do Conquistador atacam juntos,Żołnierze Admirała i Zdobywcy atakują razem,Soldaten von Admiral und Eroberer greifen gemeinsam an
synergy.genghis_musashi.name,초원의 결투사 (정복자×검객),Steppe Duelist (the Conqueror x the Swordsman),Duelliste des steppes (le Conquérant x l'Épéiste),Duellante delle Steppe (il Conquistatore x lo Spadaccino),Duelista de la Estepa (el Conquistador x el Espadachín),草原の決闘者 (征服者×剣客),Μονομάχος της Στέπας (ο Κατακτητής x ο Ξιφομάχος),草原决斗者 (征服者×剑客),草原决斗者 (征服者×劍客),Дуэлянт степей (Завоеватель x Мечник),Duelista da Estepe (o Conquistador x o Espadachim),Pojedynkowicz Stepu (Zdobywca x Szermierz),Steppen-Duellant (Eroberer x Schwertkämpfer)
synergy.genghis_musashi.desc,파티 치명타 피해 300% (기본 200%),Ally crit damage 300% (base 200%),Dégâts critiques alliés 300% (base 200%),Danni critici alleati 300% (base 200%),Daño crítico aliado 300% (base 200%),味方クリティカルダメージ300%（基本200%）,Κρίσιμη ζημιά συμμάχων 300% (βασικό 200%),我方暴击伤害 300%（基础 200%）,我方暴擊傷害 300%（基礎 200%）,Крит. урон союзников 300% (база 200%),Dano crítico aliado 300% (base 200%),Obr. krytyczne sojuszników 300% (baza 200%),Verbündeten-Kritschaden 300% (Basis 200%)
synergy.cleopatra_musashi.name,독날 (파라오×검객),Venom Blade (the Pharaoh x the Swordsman),Lame empoisonnée (la Pharaonne x l'Épéiste),Lama al Veleno (la Faraona x lo Spadaccino),Filo de Veneno (la Faraona x el Espadachín),毒刃 (ファラオ×剣客),Δηλητηριώδης Λεπίδα (η Φαραώ x ο Ξιφομάχος),毒刃 (法老×剑客),毒刃 (法老×劍客),Ядовитый клинок (Фараон x Мечник),Lâmina Venenosa (a Faraó x o Espadachim),Trujące Ostrze (Faraon x Szermierz),Giftklinge (Pharao x Schwertkämpfer)
synergy.cleopatra_musashi.desc,반함 상태 적에게 치명타 확률 100%,100% crit chance vs Enthralled enemies,100% chance de critique contre les ennemis Ensorcelés,100% probabilità di critico contro nemici Ammaliati,100% probabilidad de crítico contra enemigos Embrujados,魅了済みの敵にクリティカル確率100%,100% πιθανότητα κρίσιμου σε Γοητευμένους εχθρούς,对被魅惑敌方暴击率 100%,對被魅惑敵方暴擊率 100%,100% шанс крита по Очарованным врагам,100% de chance de crítico contra inimigos Enfeitiçados,100% szansy na krytyk wobec Oczarowanych wrogów,100% Kritchance gegen Verzauberte Feinde
