keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
ui.chapter_select.chapter2.desc,"한국, 중국, 일본 신화의 적이 각 Act에 랜덤 배정됩니다.","Enemies from Korean, Chinese, and Japanese mythology are randomly assigned to each Act.","Les ennemis des mythologies coréenne, chinoise et japonaise sont assignés aléatoirement à chaque Acte.","I nemici delle mitologie coreana, cinese e giapponese sono assegnati casualmente a ogni Atto.","Los enemigos de las mitologías coreana, china y japonesa se asignan aleatoriamente a cada Acto.",韓国・中国・日本神話の敵が各アクトにランダム配置されます。,"Εχθροί από την κορεατική, κινεζική και ιαπωνική μυθολογία ανατίθενται τυχαία σε κάθε Πράξη.",韩国、中国和日本神话的敌人将随机分配到每个幕次。,韩国、中国和日本神话的敌人将随机分配到每个幕次。,"Враги из корейской, китайской и японской мифологии случайно распределяются по Актам.","Inimigos das mitologias coreana, chinesa e japonesa são designados aleatoriamente a cada Ato.","Wrogowie z mitologii koreańskiej, chińskiej i japońskiej są losowo przypisywani do każdego Aktu.","Feinde aus koreanischer, chinesischer und japanischer Mythologie werden zufällig jedem Akt zugewiesen."
ui.hero_select.title_start,시작 영웅 선택,Select Starting Hero,Choisir le héros de départ,Seleziona l'eroe iniziale,Seleccionar héroe inicial,開始英雄選択,Επιλογή Αρχικού Ήρωα,选择初始英雄,选择初始英雄,Выбор начального героя,Selecionar Herói Inicial,Wybierz Początkowego Bohatera,Starthelden wählen
ui.hero_select.eyebrow,영웅을 선택하세요.,Select a Hero,Choisissez un Héros,Seleziona un Eroe,Selecciona un Héroe,英雄を選択してください,Επιλέξτε Ήρωα,请选择英雄,请选择英雄,Выберите героя,Selecione um Herói,Wybierz Bohatera,Wähle einen Helden
ui.hero_select.title_recruit,영웅 영입,Recruit Hero,Recruter un héros,Recluta Eroe,Reclutar héroe,英雄を仲間にする,Στρατολόγηση Ήρωα,招募英雄,招募英雄,Нанять героя,Recrutar Herói,Zwerbuj Bohatera,Helden anwerben
ui.hero_select.already_owned,이미 보유,Already Owned,Déjà possédé,Già posseduto,Ya lo tienes,所有済み,Ήδη στην κατοχή,已拥有,已拥有,Уже есть,Já possui,Już posiadasz,Bereits im Besitz
ui.hero_select.locked,잠김,Locked,Verrouillé,Bloccato,Bloqueado,ロック中,Κλειδωμένο,已锁定,已锁定,Заблокировано,Bloqueado,Zablokowane,Gesperrt
ui.map.btn_deck,덱 보기,View Deck,Voir le deck,Visualizza Deck,Ver mazo,デッキ表示,Προβολή Τράπουλας,查看卡组,查看卡组,Колода,Ver Baralho,Zobacz Talię,Deck ansehen
ui.map.btn_close,닫기,Close,Fermer,Chiudi,Cerrar,閉じる,Κλείσιμο,关闭,关闭,Закрыть,Fechar,Zamknij,Schließen
ui.map.room_battle,전투,Battle,Combat,Battaglia,Batalla,戦闘,Μάχη,战斗,战斗,Бой,Batalha,Walka,Kampf
ui.map.room_elite,정예,Elite,Élite,Elite,Élite,エリート,Ελίτ,精英,精英,Элита,Elite,Elita,Elite
ui.map.room_rest,휴식,Rest,Repos,Riposo,Descanso,休憩,Ανάπαυση,休息,休息,Отдых,Descanso,Odpoczynek,Rast
ui.map.room_shop,상점,Shop,Boutique,Negozio,Tienda,ショップ,Κατάστημα,商店,商店,Лавка,Loja,Sklep,Laden
ui.map.room_boss,보스,Boss,Boss,Boss,Jefe,ボス,Αρχηγός,首领,首领,Босс,Chefe,Boss,Boss
ui.shop.title,상점,Shop,Boutique,Negozio,Tienda,ショップ,Κατάστημα,商店,商店,Лавка,Loja,Sklep,Laden
ui.shop.relic_empty,릴릭 없음,No Relics,Aucune relique,Nessuna Reliquia,Sin reliquias,レリックなし,Χωρίς Κειμήλια,无遗物,无遗物,Без реликвий,Sem Relíquias,Brak Relikwii,Keine Relikte
ui.shop.sec_service,기타 서비스,Other Services,Autres services,Altri Servizi,Otros servicios,その他サービス,Άλλες Υπηρεσίες,其他服务,其他服务,Прочие услуги,Outros Serviços,Inne Usługi,Andere Dienste
ui.shop.btn_exit,나가기,Exit,Quitter,Esci,Salir,戻る,Έξοδος,退出,退出,Выйти,Sair,Wyjdź,Beenden
ui.shop.btn_purchased,구매 완료,Purchased,Acheté,Acquistato,Comprado,購入済み,Αγοράστηκε,已购买,已购买,Куплено,Comprado,Kupione,Gekauft
ui.shop.btn_removed,제거 완료,Removed,Retiré,Rimosso,Eliminado,削除済み,Αφαιρέθηκε,已移除,已移除,Удалено,Removido,Usunięto,Entfernt
ui.rest.title,휴식,Rest,Repos,Riposo,Descanso,休憩,Ανάπαυση,休息,休息,Отдых,Descanso,Odpoczynek,Rast
ui.rest.btn_heal,회복,Heal,Soigner,Cura,Curar,回復,Θεραπεία,恢复,恢复,Лечить,Curar,Lecz,Heilen
ui.rest.btn_upgrade,카드 강화,Upgrade Cards,Améliorer cartes,Potenzia Carte,Mejorar cartas,カード強化,Αναβάθμιση Καρτών,强化卡牌,强化卡牌,Улучшить карты,Melhorar Cartas,Ulepsz Karty,Karten verbessern
ui.rest.btn_leave,떠나기,Leave,Partir,Lascia,Irse,去る,Αναχώρηση,离开,离开,Уйти,Sair,Opuść,Verlassen
ui.rest.upgrade_prompt,강화할 카드를 선택하시오,Select a Card to Upgrade,Choisir une carte à améliorer,Seleziona carta da potenziare,Elige carta a mejorar,強化するカードを選択,Επίλεξε κάρτα για αναβάθμιση,选择要强化的卡牌,选择要强化的卡牌,Выберите карту для улучшения,Selecione carta para melhorar,Wybierz kartę do ulepszenia,Karte zum Verbessern wählen
ui.card_pick.title,카드를 선택하세요 (%d/%d),Select Cards (%d/%d),Choisir des cartes (%d/%d),Seleziona Carte (%d/%d),Seleccionar cartas (%d/%d),カードを選択してください (%d/%d),Επιλογή Καρτών (%d/%d),请选择卡牌 (%d/%d),请选择卡牌 (%d/%d),Выберите карты (%d/%d),Selecionar Cartas (%d/%d),Wybierz Karty (%d/%d),Karten wählen (%d/%d)
ui.card_pick.btn_skip,건너뛰기,Skip,Passer,Salta,Omitir,スキップ,Παράλειψη,跳过,跳过,Пропустить,Pular,Pomiń,Überspringen
ui.reward.eyebrow,전투 종료,Battle Ended,Combat Terminé,Battaglia Finita,Batalla Terminada,戦闘終了,Μάχη Τέλος,战斗结束,战斗结束,Бой окончен,Batalha Encerrada,Walka Zakończona,Kampf beendet
ui.reward.title,전리품과 은총,Of Spoils & Grace,Des Dépouilles et de la Grâce,Di Bottino e Grazia,De Botín y Gracia,戦利品と恩寵,Λάφυρα και Χάρη,战利品与恩典,战利品与恩典,Трофеи и благодать,Despojos e Graça,Łupy i Łaska,Beute und Gnade
ui.reward.subtitle,성소가 잠들었다. 함께 가져갈 것을 고르라.,The sanctuary is undone. Choose what shall be borne onward.,Le sanctuaire s'est tu. Choisissez ce que vous emporterez.,Il santuario è caduto. Scegli cosa portare avanti.,El santuario ha caído. Elige qué llevar adelante.,聖域が倒れた。持ち去るものを選べ。,Το ιερό έπεσε. Επέλεξε τι θα πάρεις μαζί σου.,圣所已倒。选择带走之物。,圣所已倒。选择带走之物。,Святилище пало. Выбери что унести с собой.,O santuário caiu. Escolha o que levar.,Sanktuarium upadło. Wybierz co zabrać.,Das Heiligtum ist gefallen. Wähle was du mitnimmst.
ui.reward.tally.turns,— 턴 —,— TURNS —,— TOURS —,— TURNI —,— TURNOS —,— ターン —,— ΓΥΡΟΙ —,— 回合 —,— 回合 —,— ХОДЫ —,— TURNOS —,— TURY —,— RUNDEN —
ui.reward.tally.damage,— 받은 피해 —,— DAMAGE TAKEN —,— DÉGÂTS SUBIS —,— DANNO SUBITO —,— DAÑO RECIBIDO —,— 受けたダメージ —,— ΖΗΜΙΆ ΛΗΦΘΕΊΣΑ —,— 承受伤害 —,— 承受伤害 —,— ПОЛУЧЕН УРОН —,— DANO RECEBIDO —,— OTRZYMANE OBR. —,— ERHALTENER SCHADEN —
ui.reward.tally.gold,— 획득 금화 —,— COIN GAINED —,— PIÈCES GAGNÉES —,— MONETE GUADAGNATE —,— MONEDAS GANADAS —,— 獲得コイン —,— ΝΟΜΊΣΜΑΤΑ ΚΕΡΔΉΘΗΚΑΝ —,— 获得金币 —,— 获得金币 —,— ПОЛУЧЕНО МОНЕТ —,— MOEDAS GANHAS —,— ZDOBYTE MONETY —,— GEWONNENE MÜNZEN —
ui.reward.section.card_index,— I —,— I —,— I —,— I —,— I —,— I —,— I —,— I —,— I —,— I —,— I —,— I —,— I —
ui.reward.section.card_title,카드를 한 장 골라 덱에 더하라,Choose a Card to add to your deck,Choisissez une Carte à ajouter à votre deck,Scegli una Carta da aggiungere al tuo mazzo,Elige una Carta para añadir a tu mazo,カードを1枚選んでデッキに加えよ,Επέλεξε μια Κάρτα για την τράπουλά σου,选择一张卡牌加入你的牌组,选择一张卡牌加入你的牌组,Выберите карту в колоду,Selecione uma Carta para o baralho,Wybierz Kartę do talii,Wähle eine Karte fürs Deck
ui.reward.rarity.common,평범,Common,Commun,Comune,Común,コモン,Κοινό,普通,普通,Обычная,Comum,Pospolita,Gewöhnlich
ui.reward.rarity.uncommon,비범,Uncommon,Peu commun,Non comune,Poco común,アンコモン,Ασυνήθιστο,非凡,非凡,Необычная,Incomum,Niezwykła,Ungewöhnlich
ui.reward.rarity.rare,희귀,Rare,Rare,Raro,Raro,レア,Σπάνιο,稀有,稀有,Редкая,Rara,Rzadka,Selten
ui.reward.rarity.legendary,전설,Legendary,Légendaire,Leggendario,Legendario,レジェンダリー,Θρυλικό,传说,传说,Легендарная,Lendária,Legendarna,Legendär
ui.reward.rarity.divine,신성,Divine,Divin,Divino,Divino,ディバイン,Θείο,神圣,神圣,Божественная,Divina,Boska,Göttlich
ui.reward.btn_take,선택,Take this,Prendre,Prendi,Tomar,選ぶ,Πάρε αυτό,选择,选择,Взять это,Levar,Weź to,Nimm dies
ui.reward.btn_skip,지나친다 — 받지 않음,Skip — Take none,Passer — Ne rien prendre,Salta — Non prendere,Pasar — No tomar,スキップ — 何も取らない,Παράλειψη — Μη πάρεις τίποτα,跳过 — 不选取,跳过 — 不选取,Пропустить — ничего,Pular — Nada,Pomiń — Nic nie bierz,Überspringen — Nichts
ui.reward.progress,— %d / %d 선택됨 —,— %d / %d CHOSEN —,— %d / %d CHOISI —,— %d / %d SCELTO —,— %d / %d ELEGIDO —,— %d / %d 選択済み —,— %d / %d ΕΠΙΛΕΓΜΈΝΟ —,— %d / %d 已选择 —,— %d / %d 已选择 —,— %d / %d ВЫБРАНО —,— %d / %d ESCOLHIDO —,— %d / %d WYBRANO —,— %d / %d GEWÄHLT —
ui.card_upgrade.title,카드 강화,Card Upgrade,Amélioration,Potenziamento,Mejora de carta,カード強化,Αναβάθμιση Κάρτας,强化卡牌,强化卡牌,Улучшение карты,Melhoria de Carta,Ulepszenie Karty,Kartenverbesserung
ui.card_upgrade.btn_skip,건너뛰기,Skip,Passer,Salta,Omitir,スキップ,Παράλειψη,跳过,跳过,Пропустить,Pular,Pomiń,Überspringen
ui.game_over.victory,승리!,Victory!,Victoire !,Vittoria!,¡Victoria!,勝利！,Νίκη!,胜利！,胜利！,Победа!,Vitória!,Zwycięstwo!,Sieg!
ui.game_over.defeat,패배...,Defeat...,Défaite...,Sconfitta...,Derrota...,敗北...,Ήττα...,失败...,失败...,Поражение...,Derrota...,Porażka...,Niederlage...
ui.game_over.btn_main_menu,메인 메뉴,Main Menu,Menu Principal,Menu Principale,Menú Principal,メインメニュー,Κύριο Μενού,主菜单,主菜单,Главное меню,Menu Principal,Menu Główne,Hauptmenü
ui.defeat.continue_hint,클릭하여 메인메뉴로,Click to return to Main Menu,Cliquez pour revenir au menu,Clicca per il menu principale,Haz clic para el menú principal,クリックでメインメニューへ,Κλικ για Κύριο Μενού,点击返回主菜单,点击返回主菜单,Клик — в гл. меню,Clique para o menu,Kliknij by wrócić do menu,Klick zum Hauptmenü
ui.hero_unlock.message,새 영웅 해금: %s,New Hero Unlocked: %s,Nouveau héros débloqué : %s,Nuovo Eroe Sbloccato: %s,Nuevo héroe desbloqueado: %s,新しい英雄を解放: %s,Νέος Ήρωας Ξεκλειδώθηκε: %s,新英雄解锁: %s,新英雄解锁: %s,Открыт новый герой: %s,Novo Herói Desbloqueado: %s,Odblokowano nowego bohatera: %s,Neuer Held freigeschaltet: %s
ui.settings.title,설정,Settings,Paramètres,Impostazioni,Configuración,設定,Ρυθμίσεις,设置,设置,Настройки,Configurações,Ustawienia,Einstellungen
ui.settings.language,언어,Language,Langue,Lingua,Idioma,言語,Γλώσσα,语言,语言,Язык,Idioma,Język,Sprache
ui.settings.cursor_size,커서 크기,Cursor Size,Taille du curseur,Dimensione cursore,Tamaño cursor,カーソルサイズ,Μέγεθος δρομέα,光标大小,光标大小,Размер курсора,Tamanho do Cursor,Rozmiar Kursora,Cursorgröße
ui.settings.btn_defaults,초기화,Restore Defaults,Restaurer,Ripristina,Restablecer,初期化,Επαναφορά,恢复默认,恢复默认,По умолчанию,Restaurar Padrão,Domyślne,Standard
ui.settings.btn_cancel,취소,Cancel,Annuler,Annulla,Cancelar,キャンセル,Άκυρο,取消,取消,Отмена,Cancelar,Anuluj,Abbrechen
ui.settings.btn_apply,적용,Apply,Appliquer,Applica,Aplicar,適用,Εφαρμογή,应用,应用,Применить,Aplicar,Zastosuj,Anwenden
ui.settings.sound,사운드,Sound,Son,Suono,Sonido,サウンド,Ήχος,音效,音效,Звук,Som,Dźwięk,Sound
ui.settings.display,화면,Display,Affichage,Schermo,Pantalla,画面,Οθόνη,画面,画面,Экран,Tela,Wyświetlanie,Anzeige
ui.settings.graphics,그래픽,Graphics,Graphismes,Grafica,Gráficos,グラフィック,Γραφικά,图形,圖形,Графика,Gráficos,Grafika,Grafik
ui.settings.gameplay,게임플레이,Gameplay,Jouabilité,Gameplay,Jugabilidad,ゲームプレイ,Παιχνίδι,游戏玩法,遊戲玩法,Геймплей,Jogabilidade,Rozgrywka,Gameplay
ui.settings.vfx_speed,VFX 속도,VFX Speed,Vitesse VFX,Velocità VFX,Velocidad VFX,VFX速度,Ταχύτητα VFX,VFX速度,VFX速度,Скорость VFX,Velocidade VFX,Szybkość VFX,VFX-Geschw.
ui.settings.anim_speed,애니메이션 속도,Animation Speed,Vitesse animation,Velocità animazione,Velocidad animación,アニメ速度,Ταχύτητα κίνησης,动画速度,動畫速度,Скорость анимации,Velocidade da Animação,Szybkość Animacji,Animationsgeschw.
ui.settings.turn_interval,차례 전환 인터벌,Turn Interval,Intervalle de tour,Intervallo turno,Intervalo de turno,ターン間隔,Διάστημα γύρου,回合间隔,回合間隔,Интервал хода,Intervalo de Turno,Odstęp Tury,Rundenintervall
ui.settings.hero_zoom,영웅 줌인,Hero Zoom,Zoom Héros,Zoom Eroe,Zoom Héroe,英雄ズーム,Ζουμ Ήρωα,英雄缩放,英雄縮放,Зум героя,Zoom do Herói,Zoom Bohatera,Helden-Zoom
ui.settings.cam_zoom_speed,카메라 줌 속도,Camera Zoom Speed,Vitesse Zoom Caméra,Velocità Zoom Camera,Velocidad Zoom Cámara,カメラズーム速度,Ταχύτητα Ζουμ Κάμερας,镜头缩放速度,鏡頭縮放速度,Скорость зума камеры,Velocidade Zoom Câmera,Szybkość Zoomu Kamery,Kamera-Zoom-Geschw.
ui.settings.particle_quality,파티클 갯수,Particle Count,Nombre particules,Numero particelle,Cantidad partículas,パーティクル数,Αριθμός σωματιδίων,粒子数量,粒子數量,Кол-во частиц,Quantidade de Partículas,Liczba Cząstek,Partikel-Anzahl
ui.settings.kill_cam,킬캠,Kill Cam,Caméra kill,Kill cam,Cámara final,キルカム,Κάμερα φόνου,击杀镜头,擊殺鏡頭,Кил-камера,Câmera de Abate,Kamera Zabicia,Kill-Kamera
ui.settings.on,켜짐,On,On,On,On,オン,Ναι,开,開,Вкл,Ligado,Wł,An
ui.settings.off,꺼짐,Off,Off,Off,Off,オフ,Όχι,关,關,Выкл,Desligado,Wył,Aus
ui.settings.language_tab,언어,Language,Langue,Lingua,Idioma,言語,Γλώσσα,语言,语言,Язык,Idioma,Język,Sprache
ui.settings.vol_master,마스터,Master,Principal,Principale,Principal,マスター,Κύριος,主音量,主音量,Главная,Principal,Główna,Master
ui.settings.vol_music,음악,Music,Musique,Musica,Música,音楽,Μουσική,音乐,音樂,Музыка,Música,Muzyka,Musik
ui.settings.vol_sfx,효과음,SFX,Effets,Effetti,Efectos,効果音,Ηχητικά,音效,音效,Эффекты,Efeitos,Efekty,Effekte
ui.settings.vol_ui,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI,UI
ui.common.btn_settings,설정,Settings,Paramètres,Impostazioni,Configuración,設定,Ρυθμίσεις,设置,设置,Настройки,Configurações,Ustawienia,Einstellungen
ui.map.room_event,이벤트,Event,Événement,Evento,Evento,イベント,Γεγονός,事件,事件,Событие,Evento,Wydarzenie,Ereignis
ui.map.room_type.secret,비밀,Secret,Secret,Segreto,Secreto,秘密,Μυστικό,秘密,秘密,Секрет,Segredo,Sekret,Geheimnis
ui.map.act_title,Act %d,Act %d,Acte %d,Atto %d,Acto %d,アクト %d,Πράξη %d,幕 %d,幕 %d,Акт %d,Ato %d,Akt %d,Akt %d
ui.map.floor_label,현재 층: %d / 9,Floor: %d / 9,Étage : %d / 9,Piano: %d / 9,Piso: %d / 9,フロア: %d / 9,Όροφος: %d / 9,楼层: %d / 9,楼层: %d / 9,Этаж: %d / 9,Andar: %d / 9,Piętro: %d / 9,Stockwerk: %d / 9
ui.map.deck_list_title,덱 목록 (%d장),Deck (%d cards),Deck (%d cartes),Mazzo (%d carte),Mazo (%d cartas),デッキ (%d枚),Τράπουλα (%d φύλλα),卡组 (%d张),卡组 (%d张),Колода (%d карт),Baralho (%d cartas),Talia (%d kart),Deck (%d Karten)
ui.map.deck_card_format,[%d코스트] %s (%s),[%d] %s (%s),[%d] %s (%s),[%d] %s (%s),[%d] %s (%s),[%d] %s (%s),[%d] %s (%s),[%d] %s (%s),[%d] %s (%s),[%d] %s (%s),[%d] %s (%s),[%d] %s (%s),[%d] %s (%s)
ui.map.confirm_back.message,진행상황이 초기화됩니다.\n정말 뒤로가시겠습니까?,Progress will be reset.\nAre you sure you want to go back?,La progression sera réinitialisée.\nVoulez-vous vraiment revenir ?,I progressi verranno reimpostati.\nSei sicuro di voler tornare indietro?,El progreso se reiniciará.\n¿Estás seguro de que quieres volver?,進行状況がリセットされます。\n本当に戻りますか？,Η πρόοδος θα επαναφερθεί.\nΕίστε σίγουροι ότι θέλετε να επιστρέψετε;,进度将被重置。\n确定要返回吗？,進度將被重置。\n確定要返回嗎？,Прогресс будет сброшен.\nДействительно вернуться?,O progresso será reiniciado.\nTem certeza?,Postęp zostanie zresetowany.\nNa pewno wrócić?,Fortschritt wird zurückgesetzt.\nWirklich zurück?
ui.map.confirm_back.ok,확인,Confirm,Confirmer,Conferma,Confirmar,確認,Επιβεβαίωση,确认,確認,Подтвердить,Confirmar,Potwierdź,Bestätigen
ui.map.confirm_back.cancel,취소,Cancel,Annuler,Annulla,Cancelar,キャンセル,Άκυρο,取消,取消,Отмена,Cancelar,Anuluj,Abbrechen
ui.shop.gold_label,보유 골드: %d,Gold: %d,Or : %d,Oro: %d,Oro: %d,ゴールド: %d,Χρυσός: %d,金币: %d,金币: %d,Золото: %d,Ouro: %d,Złoto: %d,Gold: %d
ui.shop.card_section,카드 (%d 골드),Cards (%d Gold),Cartes (%d Or),Carte (%d Oro),Cartas (%d Oro),カード (%d G),Κάρτες (%d Χρ.),卡牌 (%d金),卡牌 (%d金),Карты (%d зол.),Cartas (%d Ouro),Karty (%d Złota),Karten (%d Gold)
ui.shop.relic_section,릴릭 (%d 골드),Relic (%d Gold),Relique (%d Or),Reliquia (%d Oro),Reliquia (%d Oro),レリック (%d G),Κειμήλιο (%d Χρ.),遗物 (%d金),遗物 (%d金),Реликвия (%d зол.),Relíquia (%d Ouro),Relikwia (%d Złota),Relikt (%d Gold)
ui.shop.btn_buy,구매 (%d 골드),Buy (%d Gold),Acheter (%d Or),Acquista (%d Oro),Comprar (%d Oro),購入 (%d G),Αγορά (%d Χρ.),购买 (%d金),购买 (%d金),Купить (%d зол.),Comprar (%d Ouro),Kup (%d Złota),Kaufen (%d Gold)
ui.shop.btn_buy_simple,구매,Buy,Acheter,Acquista,Comprar,購入,Αγορά,购买,購買,Купить,Comprar,Kup,Kaufen
ui.shop.card_owner_cost,[%s] 비용 %d,[%s] Cost %d,[%s] Coût %d,[%s] Costo %d,[%s] Coste %d,[%s] %d コスト,[%s] Κόστος %d,[%s] 费用 %d,[%s] 费用 %d,[%s] Цена %d,[%s] Custo %d,[%s] Koszt %d,[%s] Kosten %d
ui.shop.btn_heal,회복 %d체력 (%d 골드),Heal %dHP (%d Gold),Soigner %dPV (%d Or),Cura %dPS (%d Oro),Curar %dPV (%d Oro),回復 %dHP (%d G),Θεραπεία %dHP (%d Χρ.),恢复 %dHP (%d金),恢复 %dHP (%d金),Лечить %dHP (%d зол.),Curar %dHP (%d Ouro),Lecz %dHP (%d Złota),Heile %dHP (%d Gold)
ui.shop.btn_remove_card,카드 제거 (%d 골드),Remove Card (%d Gold),Retirer carte (%d Or),Rimuovi carta (%d Oro),Quitar carta (%d Oro),カード除去 (%d G),Αφαίρεση Κάρτας (%d Χρ.),移除卡牌 (%d金),移除卡牌 (%d金),Убрать карту (%d зол.),Remover Carta (%d Ouro),Usuń Kartę (%d Złota),Karte entfernen (%d Gold)
ui.shop.remove_prompt,제거할 카드를 선택하세요 (%d 골드),Select card to remove (%d Gold),Choisir une carte à retirer (%d Or),Seleziona carta da rimuovere (%d Oro),Elige carta a eliminar (%d Oro),除去するカードを選択 (%d G),Επίλεξε κάρτα για αφαίρεση (%d Χρ.),选择要移除的卡牌 (%d金),选择要移除的卡牌 (%d金),Выбрать карту для удаления (%d зол.),Selecionar carta para remover (%d Ouro),Wybierz kartę do usunięcia (%d Złota),Karte zum Entfernen wählen (%d Gold)
ui.shop.upgrade_prompt,강화할 카드를 선택하세요 (%d 골드),Select card to upgrade (%d Gold),Choisir une carte à améliorer (%d Or),Seleziona carta da potenziare (%d Oro),Elige carta a mejorar (%d Oro),強化するカードを選択 (%d G),Επίλεξε κάρτα για αναβάθμιση (%d Χρ.),选择要强化的卡牌 (%d金),选择要强化的卡牌 (%d金),Выбрать карту для улучш. (%d зол.),Selecionar carta para melhorar (%d Ouro),Wybierz kartę do ulepszenia (%d Złota),Karte zum Verbessern wählen (%d Gold)
ui.shop.btn_confirm_remove,제거 확인,Confirm Remove,Confirmer Retrait,Conferma Rimozione,Confirmar Eliminación,除去確認,Επιβεβαίωση Αφαίρεσης,确认移除,确认移除,Подтв. удаление,Confirmar Remoção,Potwierdź Usunięcie,Entfernen bestätigen
ui.shop.btn_confirm_upgrade,강화 확인,Confirm Upgrade,Confirmer Amélioration,Conferma Potenziamento,Confirmar Mejora,強化確認,Επιβεβαίωση Αναβάθμισης,确认强化,确认强化,Подтв. улучшение,Confirmar Melhoria,Potwierdź Ulepszenie,Verbessern bestätigen
