keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
effect.condition.has_morale_n,사기가 %d 이상이라면,if morale ≥%d,si moral ≥%d,se morale ≥%d,si moral ≥%d,士気%d以上時,αν ηθικό ≥%d,士气 ≥%d时,士氣 ≥%d時,если мораль ≥%d,se moral ≥%d,jeśli morale ≥%d,wenn Moral ≥%d
effect.condition.low_hp,HP가 50% 이하라면,if HP ≤50%,si PV ≤50%,se PF ≤50%,si PV ≤50%,HP50%以下時,αν HP ≤50%,HP ≤50%时,HP ≤50%時,если HP ≤50%,se HP ≤50%,jeśli HP ≤50%,wenn HP ≤50%
effect.condition.very_low_hp,HP가 30% 이하라면,if HP ≤30%,si PV ≤30%,se PF ≤30%,si PV ≤30%,HP30%以下時,αν HP ≤30%,HP ≤30%时,HP ≤30%時,если HP ≤30%,se HP ≤30%,jeśli HP ≤30%,wenn HP ≤30%
effect.condition.hand_size_n,손패가 %d장 이하라면,if hand ≤%d,si main ≤%d,se mano ≤%d,si mano ≤%d,手札%d枚以下時,αν χαρτιά ≤%d,手牌 ≤%d时,手牌 ≤%d時,если рука ≤%d,se mão ≤%d,jeśli ręka ≤%d,wenn Hand ≤%d
effect.condition.enemy_count_n,적이 %d명 이하라면,if ≤%d enemies,si ≤%d ennemis,se ≤%d nemici,si ≤%d enemigos,敵%d体以下時,αν ≤%d εχθροί,敌 ≤%d时,敵 ≤%d時,если ≤%d врагов,se ≤%d inimigos,jeśli ≤%d wrogów,wenn ≤%d Feinde
effect.condition.enemy_hp_below,적의 HP가 %d% 이하라면,if enemy HP ≤%d%,si PV ennemi ≤%d%,se PF nemico ≤%d%,si PV enemigo ≤%d%,敵HP%d%以下時,αν εχθ.HP ≤%d%,敌HP ≤%d%时,敵HP ≤%d%時,если HP врага ≤%d%,se HP do inimigo ≤%d%,jeśli HP wroga ≤%d%,wenn Feind-HP ≤%d%
effect.summon_token.text,병사 %d명을 소환합니다.,Summon %d Soldiers,Invoque %d Soldats,Evoca %d Soldati,Invoca %d Soldados,兵士召喚 %d,Κάλεσε %d Στρατιώτες,召唤 %d 士兵,召唤 %d 士兵,Призвать %d солдат,Invocar %d Soldados,Przyzwij %d Żołnierzy,%d Soldaten beschwören
effect.charm.text,적 1명을 매혹 %d합니다.,Charm %d (single),Charme %d (cible),Fascino %d (singolo),Encanto %d (individual),魅惑 %d (単体),Γοητεία %d (μεμον.),魅惑 %d (单体),魅惑 %d (単体),Очарование %d (один),Encanto %d (único),Urok %d (pojedyncze),Bezauberung %d (einzeln)
effect.charm.all.text,모든 적을 매혹 %d합니다.,Charm all %d,Charme tout %d,Fascino tutto %d,Encanto todo %d,全体魅惑 %d,Γοητεία όλους %d,魅惑所有 %d,全体魅惑 %d,Очарование всем %d,Encanto a todos %d,Urok wszystkim %d,Bezauberung allen %d
effect.revive.text,사망한 아군 1명을 최대 체력의 %d%%로 부활시킵니다.,Revive with %d%% HP,Ressuscite avec %d%% PV,Rianima con %d%% PS,Revive con %d%% PV,復活 %d%%,Αναβίωση με %d%% HP,复活 %d%%,复活 %d%%,Воскресить с %d%% HP,Reviver com %d%% HP,Wskrześ z %d%% HP,Wiederbeleben mit %d%% HP
effect.sacrifice_hp.text,체력 %d을 잃습니다.,Lose %d HP,Perds %d PV,Perdi %d PS,Pierde %d PV,HP %dを失います,Χάσε %d HP,失去%d生命,失去%d生命,Потерять %d HP,Perder %d HP,Strać %d HP,%d HP verlieren
effect.cost_zero_turn.text,이번 턴 남은 카드의 비용이 모두 0이 됩니다.,Cost 0 this turn,Coût 0 ce tour,Costo 0 questo turno,Coste 0 este turno,このターンコスト0,Κόστος 0 αυτόν τον γύρο,本回合费用为0,本回合费用为0,Стоимость 0 в этом ходу,Custo 0 neste turno,Koszt 0 w tej turze,Kosten 0 in dieser Runde
effect.block_per_cards_played.text,이번 턴 사용한 카드 1장당 방어도 %d을 얻습니다.,%d Block per card played,%d Armure par carte jouée,%d Scudo per carta giocata,%d Escudo por carta jugada,カード数×%d ブロック,%d Άμυνα ανά παιγμένο φύλλο,牌数×%d 护甲,牌数×%d 护甲,%d Блока за карту,%d Bloqueio por carta jogada,%d Bloku za zagraną kartę,%d Block pro gespielter Karte
effect.on_kill_draw.text,적을 처치할 때마다 카드 %d장을 뽑습니다.,Draw %d on kill,Piochez %d par élimination,Pesca %d all'uccisione,Roba %d al matar,撃破時ドロー %d,Τράβηξε %d κατά την εξόντωση,击杀时抽 %d 张牌,击杀时抽 %d 张牌,Взять %d при убийстве,Comprar %d ao matar,Dobierz %d przy zabiciu,%d ziehen bei Kill
effect.purge_status.text,디버프 제거,Remove debuffs,Retire les malus,Rimuovi debuff,Elimina penalizaciones,デバフ除去,Αφαίρεση εξασθενήσεων,移除负面状态,移除负面状态,Снять дебаффы,Remover debuffs,Usuń debuffy,Debuffs entfernen
effect.per_draw_dmg.text,이번 턴 뽑은 카드 1장당 적에게 피해 %d을 입힙니다.,%d damage per draw,%d dégâts par pioche,%d danni per pesca,%d daño por robo,ドロー数×%d ダメージ,%d ζημιά ανά τράβηγμα,抽牌数×%d 伤害,抽牌数×%d 伤害,%d урона за взятие,%d dano por compra,%d obr. za dobranie,%d Schaden pro Zug
effect.apply_status_poison.text,%s %d 데미지,%s %d damage,%s %d dégâts,%s %d danni,%s %d de daño,%s %d ダメージ,%s %d ζημιά,%s %d 伤害,%s %d 伤害,%s %d урона,%s %d dano,%s %d obrażeń,%s %d Schaden
effect.aoe_suffix, (전체), (All), (Tous), (Tutti), (Todos), (全体), (Όλοι), (全体), (全体), (Все), (Todos), (Wszyscy), (Alle)
effect.damage.single.text,적에게 피해 %d을 입힙니다.%s,Deal %d damage to an enemy.%s,Inflige %d dégâts à un ennemi.%s,Infligge %d danni a un nemico.%s,Inflige %d de daño a un enemigo.%s,敵に %d ダメージ。%s,Προκάλεσε %d ζημιά σε εχθρό.%s,对一名敌人造成 %d 点伤害。%s,對一名敵人造成 %d 點傷害。%s,Нанести %d урона врагу.%s,Causar %d de dano a um inimigo.%s,Zadaj %d obrażeń wrogowi.%s,%d Schaden an einen Feind zufügen.%s
effect.damage.all.text,모든 적에게 피해 %d을 입힙니다.%s,Deal %d damage to all enemies.%s,Inflige %d dégâts à tous les ennemis.%s,Infligge %d danni a tutti i nemici.%s,Inflige %d de daño a todos los enemigos.%s,全敵に %d ダメージ。%s,Προκάλεσε %d ζημιά σε όλους τους εχθρούς.%s,对所有敌人造成 %d 点伤害。%s,對所有敵人造成 %d 點傷害。%s,Нанести %d урона всем врагам.%s,Causar %d de dano a todos inimigos.%s,Zadaj %d obrażeń wszystkim wrogom.%s,%d Schaden an alle Feinde zufügen.%s
effect.apply_status.single.text,적에게 %s을 부여합니다.,Apply %s to an enemy.,Applique %s à un ennemi.,Applica %s a un nemico.,Aplica %s a un enemigo.,敵に %s を付与。,Εφάρμοσε %s σε εχθρό.,对一名敌人施加 %s。,對一名敵人施加 %s。,Наложить %s на врага.,Aplicar %s a um inimigo.,Nałóż %s na wroga.,%s auf einen Feind anwenden.
effect.apply_status.all.text,모든 적에게 %s을 부여합니다.,Apply %s to all enemies.,Applique %s à tous les ennemis.,Applica %s a tutti i nemici.,Aplica %s a todos los enemigos.,全敵に %s を付与。,Εφάρμοσε %s σε όλους τους εχθρούς.,对所有敌人施加 %s。,對所有敵人施加 %s。,Наложить %s на всех врагов.,Aplicar %s a todos inimigos.,Nałóż %s na wszystkich wrogów.,%s auf alle Feinde anwenden.
effect.apply_status_poison.single.text,적에게 독 %d 데미지를 부여합니다.,Apply %d Poison damage to an enemy.,Applique %d dégâts de Poison à un ennemi.,Applica %d danni di Veleno a un nemico.,Aplica %d de daño de Veneno a un enemigo.,敵に毒 %d ダメージを付与。,Εφάρμοσε %d ζημιά Δηλητηρίου σε εχθρό.,对一名敌人施加 %d 中毒伤害。,對一名敵人施加 %d 中毒傷害。,Наложить %d Яда на врага.,Aplicar %d Veneno a um inimigo.,Nałóż %d Trucizny na wroga.,%d Gift auf einen Feind anwenden.
effect.apply_status_poison.all.text,모든 적에게 독 %d 데미지를 부여합니다.,Apply %d Poison damage to all enemies.,Applique %d dégâts de Poison à tous les ennemis.,Applica %d danni di Veleno a tutti i nemici.,Aplica %d de daño de Veneno a todos los enemigos.,全敵に毒 %d ダメージを付与。,Εφάρμοσε %d ζημιά Δηλητηρίου σε όλους τους εχθρούς.,对所有敌人施加 %d 中毒伤害。,對所有敵人施加 %d 中毒傷害。,Наложить %d Яда на всех врагов.,Aplicar %d Veneno a todos inimigos.,Nałóż %d Trucizny na wszystkich wrogów.,%d Gift auf alle Feinde anwenden.
effect.status_double.single.text,적의 디버프 스택을 2배로 만듭니다.,Double an enemy's debuff stacks.,Double les piles de débuff d'un ennemi.,Raddoppia gli stack di debuff di un nemico.,Duplica las pilas de desventaja de un enemigo.,敵のデバフスタックを2倍にする。,Διπλασίασε τις στοίβες εξασθένησης ενός εχθρού.,将一名敌人的减益层数翻倍。,將一名敵人的減益層數翻倍。,Удвоить стаки дебаффа врага.,Dobrar pilhas de debuff de um inimigo.,Podwój stosy debuff wroga.,Debuff-Stapel eines Feindes verdoppeln.
effect.status_double.all.text,모든 적의 디버프 스택을 2배로 만듭니다.,Double all enemies' debuff stacks.,Double les piles de débuff de tous les ennemis.,Raddoppia gli stack di debuff di tutti i nemici.,Duplica las pilas de desventaja de todos los enemigos.,全敵のデバフスタックを2倍にする。,Διπλασίασε τις στοίβες εξασθένησης όλων των εχθρών.,将所有敌人的减益层数翻倍。,將所有敵人的減益層數翻倍。,Удвоить стаки дебаффа всех врагов.,Dobrar pilhas de debuff de todos inimigos.,Podwój stosy debuff wszystkich wrogów.,Debuff-Stapel aller Feinde verdoppeln.
effect.purge_status.single.text,아군 1명의 디버프를 모두 제거합니다.,Remove all debuffs from one ally.,Retire tous les débuffs d'un allié.,Rimuove tutti i debuff da un alleato.,Elimina todas las desventajas de un aliado.,味方1名のデバフを全て解除。,Αφαίρεσε όλες τις εξασθενήσεις από έναν σύμμαχο.,移除一名队友的所有减益。,移除一名隊友的所有減益。,Снять все дебаффы с одного союзника.,Remover todos debuffs de um aliado.,Usuń wszystkie debuffy z jednego sojusznika.,Alle Debuffs von einem Verbündeten entfernen.
effect.purge_status.all.text,모든 아군의 디버프를 제거합니다.,Remove debuffs from all allies.,Retire les débuffs de tous les alliés.,Rimuove i debuff da tutti gli alleati.,Elimina las desventajas de todos los aliados.,全味方のデバフを解除。,Αφαίρεσε εξασθενήσεις από όλους τους συμμάχους.,移除所有队友的减益。,移除所有隊友的減益。,Снять дебаффы со всех союзников.,Remover debuffs de todos aliados.,Usuń debuffy ze wszystkich sojuszników.,Debuffs von allen Verbündeten entfernen.
effect.heal_per_dead_ally.single.text,사망한 아군 1명당 체력 %d을 회복합니다.,Restore %d HP per dead ally.,Restaure %d PV par allié mort.,Ripristina %d PV per alleato morto.,Restaura %d PV por aliado muerto.,戦死した味方1名につき %d HP 回復。,Αποκατάσταση %d HP ανά νεκρό σύμμαχο.,每名阵亡队友恢复 %d HP。,每名陣亡隊友恢復 %d HP。,Восстановить %d HP за павшего союзника.,Restaurar %d HP por aliado morto.,Przywróć %d HP za poległego sojusznika.,%d HP pro toten Verbündeten heilen.
effect.heal_per_dead_ally.all.text,모든 아군이 사망한 아군 1명당 체력 %d을 회복합니다.,All allies restore %d HP per dead ally.,Tous les alliés restaurent %d PV par allié mort.,Tutti gli alleati ripristinano %d PV per alleato morto.,Todos los aliados restauran %d PV por aliado muerto.,戦死した味方1名につき全味方 %d HP 回復。,Όλοι οι σύμμαχοι αποκαθιστούν %d HP ανά νεκρό σύμμαχο.,所有队友每名阵亡队友恢复 %d HP。,所有隊友每名陣亡隊友恢復 %d HP。,Все союзники восстанавливают %d HP за павшего.,Todos aliados restauram %d HP por aliado morto.,Wszyscy sojusznicy przywracają %d HP za poległego.,Alle Verbündeten heilen %d HP pro Toten.
card.napoleon.strike.name,스트라이크,Strike,Frappe,Colpo,Golpe,ストライク,Χτύπημα,打击,打击,Удар,Golpe,Cios,Schlag
card.napoleon.strike.archetype,돌격,Assault,Assaut,Assalto,Asalto,突撃,Έφοδος,突击,突击,Штурм,Assalto,Szturm,Sturmangriff
card.napoleon.defend.name,디펜드,Defend,Défense,Difesa,Defensa,ディフェンド,Άμυνα,防御,防御,Защита,Defesa,Obrona,Verteidigung
card.napoleon.defend.archetype,군단,Legion,Légion,Legione,Legión,軍団,Λεγεώνα,军团,军团,Легион,Legião,Legion,Legion
card.napoleon.war_bugle.name,전투 나팔,War Bugle,Clairon de guerre,Tromba di guerra,Corneta de guerra,軍鼓,Πολεμική Σάλπιγγα,战斗号角,战斗号角,Боевой горн,Corneta de Guerra,Róg Wojenny,Kriegshorn
card.napoleon.war_bugle.archetype,지휘,Command,Commandement,Comando,Mando,指揮,Διοίκηση,指挥,指挥,Командование,Comando,Dowodzenie,Befehl
card.napoleon.swift_march.name,신속 행군,Swift March,Marche rapide,Marcia rapida,Marcha rápida,神速行軍,Ταχεία Πορεία,神速行军,神速行军,Быстрый марш,Marcha Veloz,Szybki Marsz,Schneller Marsch
card.napoleon.swift_march.archetype,돌격,Assault,Assaut,Assalto,Asalto,突撃,Έφοδος,突击,突击,Штурм,Assalto,Szturm,Sturmangriff
card.napoleon.swift_advance.name,신속 기동,Swift Advance,Avance rapide,Avanzata rapida,Avance rápido,神速起動,Ταχεία Προέλαση,神速机动,神速机动,Стремительное наступление,Avanço Rápido,Szybki Atak,Schneller Vorstoß
card.napoleon.swift_advance.archetype,돌격,Assault,Assaut,Assalto,Asalto,突撃,Έφοδος,突击,突击,Штурм,Assalto,Szturm,Sturmangriff
card.napoleon.line_reform.name,전열 재편,Line Reform,Réforme de ligne,Riforma della linea,Reforma de línea,戦列再編,Ανασυγκρότηση Γραμμής,阵列重组,阵列重组,Перестроение,Reformar Linha,Reorganizacja Linii,Linien-Reform
card.napoleon.line_reform.archetype,지휘,Command,Commandement,Comando,Mando,指揮,Διοίκηση,指挥,指挥,Командование,Comando,Dowodzenie,Befehl
card.napoleon.hussar_charge.name,경기병 돌격,Hussar Charge,Charge de hussards,Carica degli ussari,Carga de húsares,軽騎兵突撃,Έφοδος Ουσάρων,轻骑兵突击,轻骑兵突击,Атака гусар,Carga dos Hussardos,Szarża Huzarów,Husaren-Angriff
card.napoleon.hussar_charge.archetype,돌격,Assault,Assaut,Assalto,Asalto,突撃,Έφοδος,突击,突击,Штурм,Assalto,Szturm,Sturmangriff
card.napoleon.grand_armee_shield.name,그랑다르메의 방패,Grand Armée Shield,Bouclier de la Grande Armée,Scudo della Grande Armée,Escudo de la Grande Armée,グランダルメの盾,Ασπίδα της Μεγάλης Στρατιάς,大军团之盾,大军团之盾,Щит Великой армии,Escudo da Grande Armée,Tarcza Wielkiej Armii,Schild der Grande Armée
card.napoleon.grand_armee_shield.archetype,군단,Legion,Légion,Legione,Legión,軍団,Λεγεώνα,军团,军团,Легион,Legião,Legion,Legion
card.napoleon.salvo.name,살보 사격,Salvo Fire,Feu de salve,Fuoco di salva,Fuego de salva,サルボ射撃,Πυρά Ομοβροντίας,齐射,齐射,Залповый огонь,Salva de Fogo,Salwa Ognia,Salvenfeuer
card.napoleon.salvo.archetype,돌격,Assault,Assaut,Assalto,Asalto,突撃,Έφοδος,突击,突击,Штурм,Assalto,Szturm,Sturmangriff
card.napoleon.marshal_appointment.name,원수 서임,Marshal Appointment,Nomination de maréchal,Nomina di maresciallo,Nombramiento de mariscal,元帥叙任,Διορισμός Στρατάρχη,元帅任命,元帅任命,Назначение маршала,Nomeação de Marechal,Mianowanie Marszałka,Marschall-Ernennung
card.napoleon.marshal_appointment.archetype,지휘,Command,Commandement,Comando,Mando,指揮,Διοίκηση,指挥,指挥,Командование,Comando,Dowodzenie,Befehl
card.napoleon.arcole_breakthrough.name,아르콜레 돌파,Arcole Breakthrough,Percée d'Arcole,Svolta di Arcole,Ruptura de Arcole,アルコレ突破,Διάσπαση στο Αρκόλε,阿尔科莱突破,阿尔科莱突破,Прорыв при Арколе,Avanço de Arcole,Przełom pod Arcole,Durchbruch von Arcole
card.napoleon.arcole_breakthrough.archetype,돌격,Assault,Assaut,Assalto,Asalto,突撃,Έφοδος,突击,突击,Штурм,Assalto,Szturm,Sturmangriff
card.napoleon.artillery_volley.name,포병 일제사격,Artillery Volley,Volée d'artillerie,Volata d'artiglieria,Volea de artillería,砲兵一斉射撃,Ομοβροντία Πυροβολικού,炮兵齐射,炮兵齐射,Артиллерийский залп,Salva de Artilharia,Salwa Artylerii,Artillerie-Salve
card.napoleon.artillery_volley.archetype,군단,Legion,Légion,Legione,Legión,軍団,Λεγεώνα,军团,军团,Легион,Legião,Legion,Legion
card.napoleon.jena_surprise.name,예나의 기습,Jena Surprise,Surprise d'Iéna,Sorpresa di Jena,Sorpresa de Jena,イエナの奇襲,Αιφνιδιασμός της Ιένας,耶拿奇袭,耶拿奇袭,Сюрприз при Йене,Surpresa de Jena,Niespodzianka pod Jeną,Jena-Überraschung
card.napoleon.jena_surprise.archetype,돌격,Assault,Assaut,Assalto,Asalto,突撃,Έφοδος,突击,突击,Штурм,Assalto,Szturm,Sturmangriff
card.napoleon.borodino_bombardment.name,보로디노 포격,Borodino Bombardment,Bombardement de Borodino,Bombardamento di Borodino,Bombardeo de Borodino,ボロジノ砲撃,Βομβαρδισμός του Μποροντίνο,博罗季诺炮击,博罗季诺炮击,Бородинская бомбардировка,Bombardeio de Borodino,Bombardowanie Borodino,Borodino-Bombardement
card.napoleon.borodino_bombardment.archetype,군단,Legion,Légion,Legione,Legión,軍団,Λεγεώνα,军团,军团,Легион,Legião,Legion,Legion
card.napoleon.total_assault_order.name,총공세 명령,Total Assault Order,Ordre d'assaut total,Ordine d'assalto totale,Orden de asalto total,総攻勢命令,Διαταγή Γενικής Εφόδου,总攻命令,总攻命令,Приказ к тотальной атаке,Ordem de Ataque Total,Rozkaz Totalnego Ataku,Befehl zum Gesamtangriff
card.napoleon.total_assault_order.archetype,지휘,Command,Commandement,Comando,Mando,指揮,Διοίκηση,指挥,指挥,Командование,Comando,Dowodzenie,Befehl
card.napoleon.emperors_command.name,황제의 명령,Emperor's Command,Commandement de l'Empereur,Comando dell'Imperatore,Mando del Emperador,皇帝の命令,Διαταγή του Αυτοκράτορα,皇帝的命令,皇帝的命令,Приказ Императора,Comando do Imperador,Rozkaz Cesarza,Befehl des Kaisers
card.napoleon.emperors_command.archetype,지휘,Command,Commandement,Comando,Mando,指揮,Διοίκηση,指挥,指挥,Командование,Comando,Dowodzenie,Befehl
card.napoleon.emperors_spirit.name,황제의 기개,Emperor's Spirit,Esprit de l'Empereur,Spirito dell'Imperatore,Espíritu del Emperador,皇帝の気概,Πνεύμα του Αυτοκράτορα,皇帝的气概,皇帝的气概,Дух Императора,Espírito do Imperador,Duch Cesarza,Geist des Kaisers
card.napoleon.emperors_spirit.archetype,돌격,Assault,Assaut,Assalto,Asalto,突撃,Έφοδος,突击,突击,Штурм,Assalto,Szturm,Sturmangriff
card.napoleon.advance_order.name,전진 명령,Advance Order,Ordre d'avance,Ordine di avanzata,Orden de avance,前進命令,Διαταγή Προέλασης,前进命令,前进命令,Приказ к наступлению,Ordem de Avanço,Rozkaz Natarcia,Vorrück-Befehl
card.napoleon.advance_order.archetype,돌격,Assault,Assaut,Assalto,Asalto,突撃,Έφοδος,突击,突击,Штурм,Assalto,Szturm,Sturmangriff
card.napoleon.trench_construction.name,참호 구축,Trench Construction,Construction de tranchées,Costruzione di trincee,Construcción de trincheras,塹壕構築,Κατασκευή Χαρακωμάτων,堑壕修筑,堑壕修筑,Возведение траншеи,Construção de Trincheira,Budowa Okopu,Schützengraben-Bau
card.napoleon.trench_construction.archetype,군단,Legion,Légion,Legione,Legión,軍団,Λεγεώνα,军团,军团,Легион,Legião,Legion,Legion
card.napoleon.scout_patrol.name,척후 정찰,Scout Patrol,Patrouille d'éclaireurs,Pattuglia di ricognizione,Patrulla de exploradores,斥候偵察,Περίπολος Αναγνώρισης,斥候侦察,斥候侦察,Разведывательный патруль,Patrulha de Reconhecimento,Patrol Zwiadowczy,Spähpatrouille
card.napoleon.scout_patrol.archetype,지휘,Command,Commandement,Comando,Mando,指揮,Διοίκηση,指挥,指挥,Командование,Comando,Dowodzenie,Befehl
card.napoleon.drum_beat.name,북소리,Drum Beat,Battement de tambour,Battito del tamburo,Toque de tambor,太鼓の音,Χτύπος Τυμπάνου,鼓声,鼓声,Барабанный бой,Batida do Tambor,Bicie Bębna,Trommelschlag
card.napoleon.drum_beat.archetype,군단,Legion,Légion,Legione,Legión,軍団,Λεγεώνα,军团,军团,Легион,Legião,Legion,Legion
card.napoleon.charge_bugle.name,진격 나팔,Charge Bugle,Clairon de charge,Clarino di carica,Corneta de carga,進撃ラッパ,Σάλπιγγα Εφόδου,进军号角,进军号角,Сигнал к атаке,Corneta de Carga,Sygnał do Szarży,Angriffshorn
card.napoleon.charge_bugle.archetype,지휘,Command,Commandement,Comando,Mando,指揮,Διοίκηση,指挥,指挥,Командование,Comando,Dowodzenie,Befehl
card.napoleon.cavalry_threat.name,기병 위협,Cavalry Threat,Menace de cavalerie,Minaccia di cavalleria,Amenaza de caballería,騎兵の脅威,Απειλή Ιππικού,骑兵威胁,骑兵威胁,Угроза кавалерии,Ameaça de Cavalaria,Groźba Kawalerii,Kavallerie-Bedrohung
card.napoleon.cavalry_threat.archetype,돌격,Assault,Assaut,Assalto,Asalto,突撃,Έφοδος,突击,突击,Штурм,Assalto,Szturm,Sturmangriff
card.napoleon.guard_charge.name,근위대 돌격,Guard Charge,Charge de la garde,Carica della guardia,Carga de la guardia,近衛兵突撃,Έφοδος Φρουράς,近卫队突击,近卫队突击,Атака Гвардии,Carga da Guarda,Szarża Gwardii,Garde-Angriff
