keys,ko,en,fr,it,es,ja,el,zh,zh_TW,ru,pt,pl,de
relic.turtle_ship_model.desc,플레이어 턴 시작 시 방어도 +2 (통제사 생존 시 +4),Block +2 or +4 if the Admiral lives,Blocage +2 ou 4 si l'Amiral vit,Difesa +2 o 4 se l'Ammiraglio vive,Defensa +2 o 4 si el Almirante vive,ターン開始時、防御+2（統制使生存時4）,+2 ή +4 Άμυνα αν ζει ο Ναύαρχος,玩家回合开始时护甲 +2（统制使存活时 +4）,玩家回合开始时护甲 +2（統制使存活时 +4）,Блок +2 или +4 если Адмирал жив,Bloqueio +2 ou +4 se o Almirante vive,Blok +2 lub +4 jeśli Admirał żyje,Block +2 oder +4 wenn Admiral lebt
relic.artillery_horn.name,포병 나팔,Artillery Horn,Cor de l'artillerie,Corno dell'Artiglieria,Cuerno de Artillería,砲兵のラッパ,Κέρας του Πυροβολικού,炮兵喇叭,炮兵喇叭,Артиллерийский рог,Corneta de Artilharia,Róg Artylerii,Artillerie-Horn
relic.artillery_horn.desc,플레이어 턴 시작 시 사기 +1 (황제 생존 시 적용),Morale +1 if the Emperor lives,Morale +1 si l'Empereur vit,Morale +1 se l'Imperatore vive,Moral +1 si el Emperador vive,ターン開始時、士気+1（皇帝生存時）,+1 Ηθικό αν ζει ο Αυτοκράτορας,玩家回合开始时士气 +1（皇帝存活时）,玩家回合开始时士气 +1（皇帝存活时）,Мораль +1 если Император жив,Moral +1 se o Imperador vive,Morale +1 jeśli Cesarz żyje,Moral +1 wenn Kaiser lebt
relic.nanjung_ilgi.name,통제사의 일지,Admiral's Journal,Journal de l'Amiral,Diario dell'Ammiraglio,Diario del Almirante,統制使の日誌,Ημερολόγιο του Ναυάρχου,统制使日志,統制使日誌,Журнал Адмирала,Diário do Almirante,Dziennik Admirała,Tagebuch des Admirals
relic.nanjung_ilgi.desc,매 턴 종료 시 팀 체력 +3 (통제사 생존 시 적용),Team HP +3 at turn end if the Admiral lives,PV équipe +3 en fin de tour si l'Amiral vit,PV squadra +3 a fine turno se l'Ammiraglio vive,PV equipo +3 al final del turno si el Almirante vive,ターン終了時、チームHP+3（統制使生存時）,+3 HP στην ομάδα στο τέλος του γύρου αν ζει ο Ναύαρχος,回合结束时全队HP +3（统制使存活时）,回合結束時全隊HP +3（統制使存活時）,HP команды +3 в конце хода если Адмирал жив,HP da equipe +3 ao fim se o Almirante vive,HP drużyny +3 na końcu jeśli Admirał żyje,Team-HP +3 am Rundenende wenn Admiral lebt
relic.pharaoh_seal.name,파라오의 인장,Pharaoh's Seal,Sceau du Pharaon,Sigillo del Faraone,Sello del Faraón,ファラオの印章,Σφραγίδα του Φαραώ,法老印章,法老印章,Печать Фараона,Selo do Faraó,Pieczęć Faraona,Siegel des Pharaos
relic.pharaoh_seal.desc,플레이어 턴 시작 시 무작위 적 독 +1 (파라오 생존 시 적용),Poison +1 if the Pharaoh lives,Poison +1 si la Pharaonne vit,Veleno +1 se la Faraona vive,Veneno +1 si la Faraona vive,ターン開始時、毒+1（ファラオ生存時）,+1 Δηλητήριο αν ζει η Φαραώ,玩家回合开始时随机敌方中毒 +1（法老存活时）,玩家回合开始时随机敌方中毒 +1（法老存活时）,Яд +1 если Фараон жив,Veneno +1 se a Faraó vive,Trucizna +1 jeśli Faraon żyje,Gift +1 wenn Pharao lebt
relic.devils_contract.name,악마의 계약,Devil's Contract,Contrat du Diable,Contratto del Diavolo,Contrato del Diablo,悪魔の契約,Συμβόλαιο με τον Διάβολο,恶魔契约,恶魔契约,Контракт с Дьяволом,Contrato do Diabo,Pakt z Diabłem,Teufelspakt
relic.devils_contract.desc,전투 시작 시 팀 체력 +12. 단 매 턴 시작 시 무작위 영웅 체력 -3,"+12 HP at battle start, but -3 per turn","+12 PV au début, -3 par tour","+12 PV all'inizio, -3 ogni turno","+12 PV al inicio, -3 cada turno",戦闘開始時HP+12、毎ターン開始時ランダムHP-3,"+12 HP στην αρχή, -3 HP κάθε γύρο",战斗开始时全队HP +12，但每回合开始随机英雄HP -3,戰鬥開始時全隊HP +12，但每回合開始隨機英雄HP -3,"+12 HP в начале, но -3 каждый ход","+12 HP no início, mas -3 por turno","+12 HP na początku, ale -3 co turę","+12 HP zu Beginn, aber -3 pro Runde"
relic.cursed_crown.name,저주받은 왕관,Cursed Crown,Couronne maudite,Corona Maledetta,Corona Maldita,呪われた王冠,Καταραμένο Στέμμα,被诅咒的王冠,被诅咒的王冠,Проклятая корона,Coroa Amaldiçoada,Przeklęta Korona,Verfluchte Krone
relic.cursed_crown.desc,최대 체력 +25. 단 매 전투 시작 시 무작위 영웅 체력 -8,"Max HP +25, but -8 at start","PV Max +25, -8 au début","PV Max +25, -8 all'inizio","PV Máx +25, -8 al inicio",最大HP+25、戦闘開始時ランダムHP-8,"+25 Μέγιστη HP, -8 HP στην αρχή",最大HP +25，但战斗开始时随机英雄HP -8,最大HP +25，但战斗开始时随机英雄HP -8,"Макс. HP +25, но -8 в начале","HP Máx. +25, mas -8 ao início","Maks. HP +25, ale -8 na początku","Max-HP +25, aber -8 zu Beginn"
relic.blood_oath.name,피의 서약,Blood Oath,Serment de sang,Giuramento di Sangue,Juramento de Sangre,血の誓約,Όρκος Αίματος,血液誓约,血液誓约,Кровавая клятва,Juramento de Sangue,Krwawa Przysięga,Bluteid
relic.blood_oath.desc,플레이어 턴 시작 시 에너지 +1. 단 턴 종료 시 무작위 영웅 체력 -4,"Energy +1, but -4 HP at end","Énergie +1, -4 PV à la fin","Energia +1, -4 PV alla fine","Energía +1, -4 PV al final",ターン開始時エネ+1、終了時ランダムHP-4,"+1 Ενέργεια, -4 HP στο τέλος",回合开始能量 +1，但结束时随机英雄HP -4,回合开始能量 +1，但结束时随机英雄HP -4,"Энергия +1, но -4 HP в конце","Energia +1, mas -4 HP no fim","Energia +1, ale -4 HP na końcu","Energie +1, aber -4 HP am Ende"
relic.tacticians_map.name,전술가의 지도,Tactician's Map,Carte du tacticien,Mappa del Tattico,Mapa del Táctico,戦術家の地図,Χάρτης του Τακτικού,战术家地图,战术家地图,Карта тактика,Mapa do Tático,Mapa Taktyka,Karte des Taktikers
relic.tacticians_map.desc,전투 시작 시 카드 1장 추가 드로우,Draw 1 extra card at start,Pioche 1 carte bonus au début,Pesca 1 carta extra all'inizio,Roba 1 carta extra al inicio,戦闘開始時、カードを1枚追加で引く,+1 κάρτα στην αρχή της μάχης,战斗开始时额外抽 1 张牌,战斗开始时额外抽 1 张牌,1 доп. карта в начале боя,1 carta extra ao iniciar,1 dod. karta na początku,1 zusätzliche Karte zu Beginn
relic.iron_will.name,강철 의지,Iron Will,Volonté de fer,Volontà di Ferro,Voluntad de Hierro,鋼の意志,Σιδερένια Θέληση,钢铁意志,钢铁意志,Железная воля,Vontade de Ferro,Żelazna Wola,Eiserner Wille
relic.iron_will.desc,전투 시작 시 에너지 +1,Energy +1 at start,Énergie +1 au début,Energia +1 all'inizio,Energía +1 al inicio,戦闘開始時、エネルギー+1,+1 Ενέργεια στην αρχή της μάχης,战斗开始时能量 +1,战斗开始时能量 +1,Энергия +1 в начале,Energia +1 ao iniciar,Energia +1 na początku,Energie +1 zu Beginn
relic.ancient_shield.name,고대의 방패,Ancient Shield,Bouclier antique,Antico Scudo,Escudo Antiguo,古代の盾,Αρχαία Ασπίδα,古代之盾,古代之盾,Древний щит,Escudo Antigo,Starożytna Tarcza,Antiker Schild
relic.ancient_shield.desc,전투 시작 시 팀 전체 방어도 +4,Team Block +4 at start,Blocage +4 au début,Difesa +4 all'inizio,Defensa +4 al inicio,戦闘開始時、チーム全体の防御+4,+4 Άμυνα στην ομάδα στην αρχή,战斗开始时全队护甲 +4,战斗开始时全队护甲 +4,Блок команды +4 в начале,Bloqueio da equipe +4 ao iniciar,Blok drużyny +4 na początku,Team-Block +4 zu Beginn
relic.ankh_of_life.name,앙크의 생명,Ankh of Life,Ankh de vie,Ankh della Vita,Ankh de Vida,アンクの命,Άνκχ της Ζωής,安卡生命之符,安卡生命之符,Анкх жизни,Ankh da Vida,Ankh Życia,Ankh des Lebens
relic.ankh_of_life.desc,피해 10 이상 받으면 즉시 체력 +5,Heal +5 when taking 10+ damage,PV +5 si vous subissez 10+ dégâts,PV +5 quando subisci 10+ danni,Cura +5 al recibir 10+ daño,10以上の被ダメ時にHP+5,+5 HP όταν δέχεστε 10+ ζημιά,受到10+伤害时 HP +5,受到10+傷害時 HP +5,HP +5 при уроне 10+,HP +5 ao receber 10+ dano,HP +5 przy obr. 10+,HP +5 bei Schaden 10+
relic.eye_of_horus.name,호루스의 눈,Eye of Horus,Œil d'Horus,Occhio di Horus,Ojo de Horus,ホルスの目,Μάτι του Ώρου,荷鲁斯之眼,荷鲁斯之眼,Око Гора,Olho de Hórus,Oko Horusa,Auge des Horus
relic.eye_of_horus.desc,플레이어 턴 시작 시 카드 1장 드로우. 파라오 생존 시 +2장,Draw 1 or 2 cards if the Pharaoh lives,Pioche 1 ou 2 si la Pharaonne vit,Pesca 1 o 2 se la Faraona vive,Roba 1 o 2 si la Faraona vive,ターン開始時カード1枚引く（ファラオ生存時2）,+1 ή +2 κάρτες αν ζει η Φαραώ,回合开始抽 1 张牌（法老存活时 +2）,回合开始抽 1 张牌（法老存活时 +2）,1 или 2 карты если Фараон жив,1 ou 2 cartas se a Faraó vive,1 lub 2 karty jeśli Faraon żyje,1 oder 2 Karten wenn Pharao lebt
relic.scarab_talisman.name,스카라베 부적,Scarab Talisman,Talisman du scarabée,Talismano dello Scarabeo,Talismán de Escarabajo,スカラベの守護札,Φυλαχτό Σκαραβαίος,圣甲虫护身符,圣甲虫护身符,Талисман скарабея,Talismã de Escaravelho,Talizman Skarabeusza,Skarabäus-Talisman
relic.scarab_talisman.desc,전투 시작 시 모든 적에게 독 4,Apply Poison 4 to all enemies at start,Applique Poison 4 à tous au début,Applica Veleno 4 a inizio,Aplica Veneno 4 al inicio,戦闘開始時、全敵に毒4を付与,+4 Δηλητήριο σε όλους τους εχθρούς στην αρχή,战斗开始时所有敌方中毒 4,戰鬥開始時所有敵方中毒 4,Яд 4 всем врагам в начале,Veneno 4 a todos inimigos ao iniciar,Trucizna 4 wszystkim wrogom na początku,Gift 4 an alle Feinde zu Beginn
relic.rune_of_fate.name,운명의 룬,Rune of Fate,Rune du destin,Runa del Destino,Runa del Destino,運命のルーン,Ρούνος του Πεπρωμένου,命运卢恩,命运卢恩,Руна судьбы,Runa do Destino,Runa Losu,Schicksalsrune
relic.rune_of_fate.desc,처치한 적이 많을수록 강해진다 (처치한 적당 영웅 전체 공격 +1),Grows with each kill (+1 attack per enemy slain),Se renforce à chaque ennemi tué (+1 attaque par ennemi),Più forte a ogni nemico ucciso (+1 attacco per nemico),Más fuerte por cada enemigo abatido (+1 ataque por enemigo),敵を倒すほど強くなる（撃破した敵ごとに全英雄の攻撃+1）,Δυναμώνει με κάθε εχθρό (+1 επίθεση ανά εχθρό),击杀越多越强（每击杀一个敌人全英雄攻击+1）,擊殺越多越強（每擊殺一個敵人全英雄攻擊+1）,Сильнее за убийство (+1 атк за врага),Mais forte por morte (+1 atq por inimigo),Mocniejszy za zabicie (+1 atk za wroga),Stärker pro Kill (+1 Angriff pro Feind)
relic.mjolnir_shard.name,묠니르의 파편,Mjolnir Shard,Éclat de Mjölnir,Frammento di Mjolnir,Fragmento de Mjölnir,ミョルニルの破片,Θραύσμα του Μγιόλνιρ,雷神之锤碎片,雷神之锤碎片,Осколок Мьёльнира,Fragmento de Mjölnir,Odłamek Mjölnira,Mjölnir-Splitter
relic.mjolnir_shard.desc,전투 시작 시 팀 전체 방어도 +10,Team Block +10 at start,Blocage +10 au début,Difesa +10 all'inizio,Defensa +10 al inicio,戦闘開始時、チーム全体の防御+10,+10 Άμυνα στην ομάδα στην αρχή,战斗开始时全队护甲 +10,战斗开始时全队护甲 +10,Блок команды +10 в начале,Bloqueio da equipe +10 ao iniciar,Blok drużyny +10 na początku,Team-Block +10 zu Beginn
relic.idun_apple.name,이둔의 사과,Idun's Apple,Pomme d'Idunn,Mela di Idun,Manzana de Idun,イズンのリンゴ,Μήλο της Ιντούν,伊登苹果,伊登苹果,Яблоко Идунн,Maçã de Idun,Jabłko Idun,Iduns Apfel
relic.idun_apple.desc,플레이어 턴 종료 시 팀 전체 체력 +3,Team HP +3 at turn end,PV +3 à la fin du tour,PV +3 a fine turno,PV +3 al final del turno,プレイヤーターン終了時HP+3,+3 HP στο τέλος του γύρου,玩家回合结束时全队 HP +3,玩家回合結束時全隊 HP +3,HP команды +3 в конце хода,HP da equipe +3 ao fim,HP drużyny +3 na końcu,Team-HP +3 am Rundenende
relic.ghost_talisman.name,귀신 부적,Ghost Talisman,Talisman spectral,Talismano Spettrale,Talismán Espectral,幽霊の護符,Φυλαχτό Φάντασμα,鬼神护符,鬼神护符,Призрачный талисман,Talismã Espectral,Talizman Ducha,Geistertalisman
relic.ghost_talisman.desc,플레이어 턴 종료 시 무작위 적에게 독 2 부여,Apply Poison 2 at turn end,Applique Poison 2 à la fin,Applica Veleno 2 a fine turno,Aplica Veneno 2 al final,ターン終了時、ランダムな敵に毒2を付与,2 Δηλητήριο σε τυχαίο εχθρό στο τέλος,玩家回合结束时随机敌方中毒 2,玩家回合结束时随机敌方中毒 2,Яд 2 в конце хода,Veneno 2 ao fim do turno,Trucizna 2 na końcu tury,Gift 2 am Rundenende
relic.tengu_feather.name,텐구의 깃털,Tengu Feather,Plume de Tengu,Piuma di Tengu,Pluma de Tengu,天狗の羽,Φτερό Τένγκου,天狗之羽,天狗之羽,Перо Тэнгу,Pena de Tengu,Pióro Tengu,Tengu-Feder
relic.tengu_feather.desc,전투를 치를수록 강해진다 (치른 전투당 영웅 전체 공격 +2),Grows stronger each battle (+2 attack per battle),Se renforce à chaque combat (+2 attaque par combat),Più forte a ogni battaglia (+2 attacco per battaglia),Más fuerte cada batalla (+2 ataque por batalla),戦うほど強くなる（戦闘ごとに全英雄の攻撃+2）,Δυναμώνει σε κάθε μάχη (+2 επίθεση ανά μάχη),每场战斗后变强（每场战斗全英雄攻击+2）,每場戰鬥後變強（每場戰鬥全英雄攻擊+2）,Сильнее за бой (+2 атк),Mais forte por combate (+2 atq),Mocniejszy za walkę (+2 atk),Stärker pro Kampf (+2 Angriff)
relic.orochi_scale.name,오로치의 비늘,Orochi Scale,Écaille d'Orochi,Scaglia di Orochi,Escama de Orochi,オロチの鱗,Λέπι του Ορότσι,八岐大蛇之鳞,八岐大蛇之鳞,Чешуя Орочи,Escama de Orochi,Łuska Orochiego,Orochi-Schuppe
relic.orochi_scale.desc,영웅이 피해를 받을 때 무작위 적에게 약화 1 부여,Apply Weak 1 on taking DMG,Applique Faiblesse 1 si dégâts,Applica Debolezza 1 se colpito,Aplica Debilidad 1 al recibir daño,ダメージを受けた時、ランダムな敵に弱体1,1 Αδυναμία σε τυχαίο εχθρό αν δεχτείς ζημιά,英雄受到伤害时随机敌方虚弱 1,英雄受到伤害时随机敌方虚弱 1,Слабость 1 при уроне,Fraco 1 ao receber dano,Słabość 1 przy obr.,Schwach 1 bei Schaden
relic.flag_of_orleans.name,백합의 깃발,Banner of the Lily,Bannière du Lys,Vessillo del Giglio,Estandarte del Lirio,百合の旗,Λάβαρο του Κρίνου,百合旗帜,百合旗幟,Знамя лилии,Estandarte do Lírio,Sztandar Lilii,Banner der Lilie
relic.flag_of_orleans.desc,플레이어 턴 시작 시 체력 +20 (성녀 생존 시 +40),HP +20 or +40 if the Saint lives,PV +20 ou 40 si la Sainte vit,PV +20 o 40 se la Santa vive,PV +20 o 40 si la Santa vive,ターン開始時HP+20（聖女生存時40）,+20 ή +40 HP αν ζει η Αγία,回合开始HP +20（圣女存活时 +40）,回合开始HP +20（聖女存活时 +40）,HP +20 или +40 если Святая жива,HP +20 ou +40 se a Santa vive,HP +20 lub +40 jeśli Święta żyje,HP +20 oder +40 wenn Heilige lebt
relic.saints_tears.name,성녀의 눈물,Saint's Tears,Larmes de la sainte,Lacrime della Santa,Lágrimas de la Santa,聖女の涙,Δάκρυα της Αγίας,圣女之泪,圣女之泪,Слёзы Святой,Lágrimas da Santa,Łzy Świętej,Tränen der Heiligen
relic.saints_tears.desc,영웅이 피해를 받을 때 팀 전체 체력 +30 (성녀 생존 시 +60),Heal 30 or 60 if the Saint lives,PV +30 ou 60 si la Sainte vit,PV +30 o 60 se la Santa vive,PV +30 o 60 si la Santa vive,ダメージ時HP+30（聖女生存時60）,+30 ή +60 HP αν ζει η Αγία,受害时HP +30（圣女存活时 +60）,受害时HP +30（聖女存活时 +60）,Лечение 30 или 60 если Святая жива,Cura 30 ou 60 se a Santa vive,Lecz 30 lub 60 jeśli Święta żyje,Heile 30 oder 60 wenn Heilige lebt
relic.thousand_horses.name,천군만마,Thousand Horses,Mille chevaux,Mille Cavalli,Mil Caballos,千軍万馬,Χίλια Άλογα,千军万马,千军万马,Тысяча коней,Mil Cavalos,Tysiąc Koni,Tausend Pferde
relic.thousand_horses.desc,전투 시작 시 팀 전체 방어도 +30,Team Block +30 at start,Blocage +30 au début,Difesa +30 all'inizio,Defensa +30 al inicio,戦闘開始時、チーム全体の防御+30,+30 Άμυνα στην ομάδα στην αρχή,战斗开始时全队护甲 +30,战斗开始时全队护甲 +30,Блок команды +30 в начале,Bloqueio da equipe +30 ao iniciar,Blok drużyny +30 na początku,Team-Block +30 zu Beginn
relic.conquerors_whip.name,정복자의 채찍,Conqueror's Whip,Fouet du conquérant,Frusta del Conquistatore,Látigo del Conquistador,征服者の鞭,Μαστίγιο του Κατακτητή,征服者之鞭,征服者之鞭,Кнут Завоевателя,Chicote do Conquistador,Bicz Zdobywcy,Eroberer-Peitsche
relic.conquerors_whip.desc,전투를 치를수록 강해진다 (치른 전투당 카드 공격 +3 / 정복자 전용),Grows stronger each battle (+3 card attack per battle / the Conqueror),Se renforce à chaque combat (+3 par combat / le Conquérant),Più forte a ogni battaglia (+3 per battaglia / il Conquistatore),Más fuerte cada batalla (+3 por batalla / el Conquistador),戦うほど強くなる（戦闘ごとにカード攻撃+3／征服者専用）,Δυναμώνει σε κάθε μάχη (+3 ανά μάχη / ο Κατακτητής),每场战斗后变强（每场战斗卡牌攻击+3／征服者专属）,每場戰鬥後變強（每場戰鬥卡牌攻擊+3／征服者專屬）,Сильнее за бой (+3 атк карты / Завоеватель),Mais forte por combate (+3 atq carta / Conquistador),Mocniejszy za walkę (+3 atk karty / Zdobywca),Stärker pro Kampf (+3 Karten-Angriff / Eroberer)
relic.niten_ichi_ryu.name,이도류 비전,Twin-Blade Doctrine,Doctrine des Deux Lames,Dottrina delle Due Lame,Doctrina de las Dos Hojas,二刀の秘伝,Δόγμα των Δύο Σπαθιών,双刀秘传,雙刀秘傳,Доктрина двух клинков,Doutrina das Duas Lâminas,Doktryna Dwóch Ostrzy,Doktrin der Zwei Klingen
relic.niten_ichi_ryu.desc,전투 시작 시 에너지 +1 (검객 전용),Energy +1 (the Swordsman only),Énergie +1 (l'Épéiste),Energia +1 (lo Spadaccino),Energía +1 (el Espadachín),戦闘開始時エネルギー+1（剣客専用）,+1 Ενέργεια (Μόνο Ξιφομάχος),战斗开始能量 +1（剑客专用）,战斗开始能量 +1（劍客专用）,Энергия +1 (Мечник),Energia +1 (Espadachim),Energia +1 (Szermierz),Energie +1 (Schwertkämpfer)
relic.gorin_sho_relic.name,검리의 서,Treatise of the Blade,Traité de la Lame,Trattato della Lama,Tratado de la Hoja,剣理の書,Πραγματεία της Λεπίδας,剑理之书,劍理之書,Трактат клинка,Tratado da Lâmina,Traktat Ostrza,Klingen-Traktat
relic.gorin_sho_relic.desc,플레이어 턴 시작 시 카드 1장 추가 드로우 (검객 전용),Draw extra card (the Swordsman only),Pioche bonus (l'Épéiste),Pesca extra (lo Spadaccino),Roba extra (el Espadachín),ターン開始時カード1枚追加（剣客専用）,+1 κάρτα (Μόνο Ξιφομάχος),回合开始额外抽牌（剑客专用）,回合开始额外抽牌（劍客专用）,Доп. карта (Мечник),Carta extra (Espadachim),Dod. karta (Szermierz),Zusatzkarte (Schwertkämpfer)
relic.dharma_seal.name,법인,Dharma Seal,Sceau du Dharma,Sigillo del Dharma,Sello del Dharma,法印,Σφραγίδα Ντάρμα,法印,法印,Печать Дхармы,Selo do Dharma,Pieczęć Dharmy,Dharma-Siegel
relic.dharma_seal.desc,팀 전체 최대 체력 +20,Team Max HP +20,PV max +20 à l'équipe,PV Max +20 alla squadra,PV Máx +20 al equipo,チーム全体の最大HP+20,+20 Μέγιστο HP στην ομάδα,全队最大 HP +20,全隊最大 HP +20,Макс. HP команды +20,HP Máx. da equipe +20,Maks. HP drużyny +20,Team-Max-HP +20
